titulo,subtitulo,texto,data,url,portal
"Casa Branca ataca Brasil por pix, regulação de redes e ""taxa das blusinhas""","Relatório do USTR sobre barreiras comerciais dedica oito páginas ao país, ataca tarifas altas e alerta sobre projeto que amplia poderes do Cade em mercados digitais","Relatório do USTR sobre barreiras comerciais dedica oito páginas ao país, ataca tarifas altas e alerta sobre projeto que amplia poderes do Cade em mercados digitais

Um documento recém-publicado pelo USTR (escritório de representação comercial da Casa Branca) aponta o pix, projetos de lei que buscam regulamentar redes sociais e até a ""taxa das blusinhas"" como barreiras impostas pelo Brasil aos interesses americanos no comércio exterior.

A lista de obstáculos se soma a outras reclamações já tradicionais dos Estados Unidos, como lentidão no registro de patentes e problemas na área de propriedade intelectual, as tarifas para importação de etanol, restrições sanitárias para a carne de porco americana e cotas para produções audiovisuais nacionais (a chamada ""cota de tela"").

O capítulo dedicado ao Brasil ocupa oito páginas no relatório e endossa pontos já mencionados no âmbito da Seção 301, investigação conduzida pelo USTR que entra em sua reta final nos próximos meses e pode resultar em tarifas específicas contra produtos brasileiros.

""O governo brasileiro impõe uma taxa linear de 60% para todas as encomendas expressas importadas pelo processo de Desembaraço Aduaneiro Simplificado"", afirma um trecho do relatório, acrescentando que o limite é de US$ 100 mil dólares/ano por importador.

""Além disso, a Receita Federal estabelece um valor máximo de US$ 10 mil para exportações e US$ 3 mil para importações"", diz o USTR.

O documento também aponta que o Banco Central ""criou, detém, opera e regula o pix, uma plataforma de pagamentos instantâneos’’. E que partes interessadas dos Estados Unidos ‘’expressaram preocupações de que o BC conceda tratamento preferencial ao pix, que prejudica os fornecedores de serviços de pagamentos eletrônicos dos EUA’’.

Outro alvo da Casa Branca é o PL 4.675, projeto de lei enviado pelo Palácio do Planalto ao Congresso Nacional em setembro de 2025, que amplia os poderes do Cade (Conselho Administrativo de Defesa Econômica) na regulação econômica d",2026-04-01 13:25:25-03:00,https://www.cnnbrasil.com.br/economia/macroeconomia/casa-branca-ataca-brasil-por-pix-regulacao-de-redes-e-taxa-das-blusinhas/,cnnbrasil
"Trump discutiu demitir a procuradora-geral Pam Bondi, dizem fontes",Presidente estaria frustrado com sua atuação no caso Epstein e na investigação de adversários,"Presidente estaria frustrado com sua atuação no caso Epstein e na investigação de adversários

O presidente Donald Trump tem cogitado nos bastidores demitir a procuradora-geral dos EUA, Pam Bondi, e substituí-la pelo administrador da EPA, Lee Zeldin, disseram à CNN várias fontes familiarizadas com o assunto.

Frustrado com a reação negativa e a ira de sua base sobre a condução dos arquivos de Jeffrey Epstein pela administração, Trump tem perguntado a pessoas sobre a possibilidade de substituir Bondi, que enfrentará uma audiência de depoimento ainda este mês no Capitólio, relacionada à investigação do Congresso sobre o criminoso sexual, disseram as fontes. Ele também reclamou que ela não investigou o suficiente seus adversários políticos.

Não está claro se o presidente tomou uma decisão, disseram as fontes à CNN. Bondi estava com Trump na quarta-feira (1º), viajando em sua comitiva enquanto ele participava das audiências na Suprema Corte sobre a cidadania por nascimento. Trump demonstrou confiança nela em um comunicado à CNN.

‐A procuradora-geral Pam Bondi é uma pessoa maravilhosa e está fazendo um bom trabalho”, disse o presidente.

Ao ser solicitado a comentar, o Departamento de Justiça remeteu à declaração da Casa Branca. Uma fonte familiarizada com o assunto disse à CNN que Trump e Bondi conversaram repetidamente nos últimos dias, e que as discussões foram “negócios como de costume”.

A ideia de substituir Bondi por Zeldin surgiu pela primeira vez em janeiro, mas perdeu força à medida que a cobertura sobre Epstein saiu do ciclo de notícias, disseram as fontes. Alguns altos funcionários do DOJ (Departamento de Justiça) acreditavam que a dor de cabeça de um ano com os arquivos de Epstein finalmente tinha acabado, disse uma fonte. Mas a notícia de que Trump queria substituir Bondi por Zeldin começou a circular novamente na Ala Oeste na segunda-feira.

Zeldin não é visto como a escolha final para substituir Bondi caso ela seja demitida. Trump mencionou outros candi",2026-04-01 22:00:01-03:00,https://www.cnnbrasil.com.br/internacional/trump-discutiu-demitir-a-procuradora-geral-pam-bondi-dizem-fontes/,cnnbrasil
Rabat é a Capital Mundial do Livro em 2026: o que torna a cidade especial?,"Banhada pelo Atlântico, a capital do Marrocos reúne livrarias independentes e mais de 50 editoras, além de ser reconhecida como Patrimônio Mundial pela Unesco","Banhada pelo Atlântico, a capital do Marrocos reúne livrarias independentes e mais de 50 editoras, além de ser reconhecida como Patrimônio Mundial pela Unesco

Rabat é a Capital Mundial do Livro em 2026: o que torna a cidade especial?

Rabat, a capital do Marrocos, foi escolhida como a Capital Mundial do Livro para 2026. A partir de 23 de abril, no Dia Mundial do Livro, a cidade promoverá uma série de atividades para fortalecer o papel dos livros como ferramentas de desenvolvimento sustentável e de inclusão social.

A programação abrangerá a ampliação do acesso aos livros, o apoio à indústria editorial local e o lançamento de uma iniciativa para reforçar a alfabetização de seus cidadãos.

O título de Capital Mundial do Livro é concedido pela Unesco desde 2001. A primeira cidade a receber o reconhecimento foi Madri, na Espanha.

No ano passado, o Rio de Janeiro se tornou a primeira cidade de língua portuguesa a carregar a distinção. Fizeram parte da programação a Bienal do Livro, a Book Parade Rio 2025 e o prêmio Jabuti.

Para 2027, a colombiana Medellín foi a escolhida para portar o título. Segundo a Unesco, as cidades nomeadas como Capital Mundial do Livro dedicam-se a promover a alfabetização e a liberdade de expressão. Cada cidade demonstra sua liderança no apoio à criatividade, à diversidade linguística e à partilha de conhecimento por meio de livros e histórias.

Rabat e a cena literária

Rabat é banhada pelo Oceano Atlântico e fica a pouco mais de uma hora de Casablanca • Imagem de Fatima Zahrae por Pixabay

Na costa do Oceano Atlântico, no noroeste do Marrocos, Rabat reúne mais de 50 editoras e, segundo a Unesco, abriga a terceira maior feira internacional de livros da África.

A agência da ONU cita que a cidade conta com um número crescente de livrarias, destacando a indústria editorial como parte vital da economia criativa local e da vanguarda da democratização do conhecimento.

A cidade é conhecida por suas livrarias de rua independentes e algumas institui",2026-03-31 20:09:35-03:00,https://www.cnnbrasil.com.br/viagemegastronomia/viagem/rabat-e-a-capital-mundial-do-livro-em-2026-o-que-torna-a-cidade-especial/,cnnbrasil
Ao vivo: Coritiba x Vasco,"Acompanhe o jogo Coritiba x Vasco - Brasileiro Série A 2026. Veja os lances, as escalações e as estatísticas em tempo real na CNN Brasil","Todos os lances Destaques 2º Tempo 1º Tempo

46' - 2°T VAR VAR! O VAR está revisando o lance. Coritiba

45' - 2°T Josué fatia a bola na esquerda da área, Felipe Jonatan escora para o meio, Alan Saldivia tenta cortar e manda contra o próprio patrimônio, 1x1! Vasco

44' - 2°T Gol Contra GOOOOOOOOOL DO CORITIBA! ALAN SALVÍVIA FAZ CONTRA! Vasco

43' - 2°T ISOLOU! Lucas Ronier costura para a perna canhota na intermediária e isola a bola na arquibancada. Coritiba

42' - 2°T SEM FORÇA! Paulo Henrique rola para Riquelme Avellar na intermediária e o lateral finaliza mascado nas mãos do goleiro. Vasco

41' - 2°T Josué é atropelado por Thiago Mendes na intermediária e Ramon Abatti Abel assinala a infração. Coritiba

40' - 2°T A equipe visitantes valoriza a posse da bola no meio-campo. Vasco

39' - 2°T Substituição SUBSTITUIÇÃO NO Vasco! Sai Marino Hinestroza e entra João Vitor. Vasco

39' - 2°T Substituição VEM MUDANÇA NO Vasco! Renato Portaluppi mexe no time e troca Lucas Piton por Riquelme Avellar. Vasco

37' - 2°T A torcida da casa sobe a voz e segue apoiando o time. Coritiba

36' - 2°T QUAAAAASE! JP Chermont dá um balão para a pequena área, Pedro Rocha escora para o meio e Fabinho Augusto desvia para fora. Coritiba

35' - 2°T Com a vitória parcial, o Vasco vai alcançando a 7ª posição do Brasileirão. Vasco

34' - 2°T Thiago Mendes domina ela na meia-lua, pisa para Brenner e o atacante chuta em cima de Josué. Vasco

32' - 2°T Impedimento IMPEDIMENTO MARCADO! Felipe Jonatan recebe o passe mas estava à frente da linha da bola e a jogada é interrompida. Coritiba

32' - 2°T Substituição Substituição no Coritiba: Entra: Fabinho Augusto e Sai: Sebastián Gómez. Coritiba

31' - 2°T Substituição Substituição no Coritiba: Entra: JP Chermont e Sai: Tinga. Coritiba

31' - 2°T Substituição Substituição no Coritiba: Entra: Felipe Jonatan e Sai: Bruno Melo. Coritiba

31' - 2°T Lucas Ronier dá novo lançamento para dentro do furdunço e Keno cabeceia nas mãos do goleiro. Coritiba

30' - 2°T E",2026-01-04 00:00:00,https://www.cnnbrasil.com.br/esportes/lances-ao-vivo/brasileiro-serie-a-2026/01-04-2026/coritiba-x-vasco,cnnbrasil
EUA aprova nova pílula de emagrecimento da mesma fabricante do Mounjaro,"Foundayo chega para simplificar tratamento da obesidade, permitindo ingestão a qualquer hora do dia","Foundayo chega para simplificar tratamento da obesidade, permitindo ingestão a qualquer hora do dia

A Administração de Alimentos e Medicamentos dos EUA (FDA) aprovou nesta quarta-feira (1º) o segundo comprimido de GLP-1 para perda de peso, adicionando mais uma opção a um arsenal crescente de terapias para obesidade.

O comprimido de orforglipron, chamado Foundayo, é fabricado pela Eli Lilly, que também comercializa os medicamentos GLP-1 Zepbound para obesidade e Mounjaro para diabetes.

Esses medicamentos são administrados por meio de injeções semanais e, juntamente com os concorrentes Wegovy e Ozempic, transformaram o tratamento da perda de peso e do diabetes, sendo utilizados por milhões de pessoas.

O Foundayo chega ao mercado poucos meses depois da aprovação pela FDA da versão em comprimido do medicamento injetável para obesidade Wegovy, da Novo Nordisk.

Ambos os comprimidos oferecem uma nova forma de administrar medicamentos GLP-1, assim chamados por imitarem o hormônio importante para o apetite, a digestão e a regulação da insulina. Mas a Lilly afirma que o Foundayo representa um avanço porque, ao contrário do comprimido de Wegovy, pode ser tomado a qualquer hora do dia e sem restrições quanto à alimentação e ingestão de líquidos.

""Nós realmente projetagem isso para se encaixar na vida das pessoas da maneira mais fácil possível"", disse o Dr. Dan Skovronsky, diretor científico e de produtos da Lilly, à CNN.

O comprimido Wegovy deve ser tomado logo ao acordar, 30 minutos antes de qualquer refeição ou bebida, o que pode interferir na sua absorção. Essa restrição, no entanto, não parece ter afetado sua popularidade: já está sendo usado por cerca de 400.000 pessoas nos EUA, segundo estimativas da empresa de Wall Street Mizuho.

Os comprimidos também representam uma grande mudança no preço e no acesso aos medicamentos GLP-1; em um acordo firmado com o governo Trump em novembro, os comprimidos custam a partir de US$ 149, cerca de R$ 770, por mês nas doses mais ba",2026-04-01 17:11:54-03:00,https://www.cnnbrasil.com.br/saude/eua-aprova-nova-pilula-de-emagrecimento-da-mesma-fabricante-do-mounjaro/,cnnbrasil
"Exímia Bar reabre no Itaim, em SP, com coquetelaria guiada pela brasilidade","Presente na disputada lista World’s 50 Best Bars 2025, espaço reúne drinques de Márcio Silva e menu da chef Manu Buffara","No dia 9 de abril, o Exímia Bar está de volta ao cenário paulistano, agora em novo endereço: o andar superior do restaurante Locale, no Itaim Bibi. A reabertura marca uma nova fase da casa, que mantém sua proposta de explorar a coquetelaria autoral sob uma ótica contemporânea, guiada pelo conceito de brasileirismo e pela diversidade cultural do país.

À frente do projeto estão os irmãos Gabriel Fullen e Nicholas Fullen, CEO e CPO do Grupo Locale. A carta de drinques leva a assinatura do bartender Márcio Silva, sócio do bar, cujas criações dialogam com o repertório da chef Manu Buffara, também sócia no empreendimento.

Mesmo com menos de dois anos de operação antes da pausa, o Exímia acumulou reconhecimento em premiações nacionais e internacionais. Figurou no The World's 50 Best Bars 2025 e entre os 10 melhores novos bares do mundo no Spirited Awards 2024, além de alcançar a 43ª posição no ranking Top 500 Bars.

A nova fase mantém o foco em uma coquetelaria de processos complexos, com preparos que podem levar entre 48 e 60 horas. A proposta parte de estudos antropológicos e referências ancestrais, combinando insumos brasileiros, técnica e pesquisa para construir camadas de aroma, textura e sabor.

Drinque Amaryllis, preparado com sloe gin, licor Chambord, vinho chardonnay, mel de cacau, jabuticaba, lichia e yuzu • Tadeu Brunelli

O menu, que passa por atualizações frequentes conforme a sazonalidade, traz opções como o Ameríndio (R$ 49), com rum, bourbon Maker’s Mark, licor Golden Massala, pau-brasil, amburana, gengibre e bitters; o Odisséia (R$ 73), com The Macallan Sherry Oak 12 anos, palo santo, cambuci, tangerina, laranja e flor de sabugueiro; e o Amaryllis (R$ 49), que combina sloe gin, licor Chambord, vinho chardonnay, mel de cacau, jabuticaba, lichia e yuzu.

Em ambiente intimista, o Exímia aposta em uma experiência sensorial completa, que inclui trilha sonora inspirada em referências locais e reforça a proposta do bar como espaço de pesquisa e expressão da coq",2026-03-31 11:33:44-03:00,https://www.cnnbrasil.com.br/viagemegastronomia/gastronomia/eximia-bar-reabre-no-itaim-em-sp-com-coquetelaria-guiada-pela-brasilidade/,cnnbrasil
CNN Brasil “entra em campo” com cobertura multiplataforma da Copa 2026,Emissora vai acompanhar a Seleção e os principais destaques do Mundial em parceria com a Itatiaia,"Emissora vai acompanhar a Seleção e os principais destaques do Mundial em parceria com a Itatiaia

A CNN Brasil deu o pontapé inicial para a maior cobertura de sua história em Copas do Mundo.

A partir desta quarta (1), os conteúdos sobre o Mundial de 2026 passam a ser diários na grade, com quadros fixos nos telejornais Novo Dia, Live e Primetime, além de séries especiais sobre os protagonistas da competição.

Veja como será a cobertura da CNN na Copa

A cobertura da CNN Brasil contará com uma equipe dedicada nas principais frentes da Copa do Mundo.

Ludmila Candal, apresentadora do CNN Esportes, acompanhará de perto o dia a dia da Seleção Brasileira, desde a preparação na Granja Comary até a trajetória no Mundial.

Já Priscila Yazbek, correspondente internacional, será responsável pela cobertura do jogo de abertura, entre México e África do Sul, marcando o início oficial da competição.

Diretamente dos Estados Unidos, o comentarista Bruno Rodrigues reforça a operação com conteúdos voltados às redes sociais, ampliando a presença digital da emissora com bastidores, análises e entradas ao vivo ao longo do torneio.

Parceria com a Rádio Itatiaia

A rede de correspondentes internacionais foi estruturada para oferecer uma cobertura abrangente dos diferentes ângulos da competição. Em Washington, D.C., Mariana Janjácomo analisará os desdobramentos geopolíticos do evento.

A operação ganha ainda mais peso com a parceria com a Rádio Itatiaia, que manterá profissionais em Dallas e Nova York para participações ao vivo e boletins exclusivos na programação da CNN.

No fim do dia, a emissora exibirá o programa ""CNN na Copa"", ancorado por Ludmila Candal, com um resumo dos principais acontecimentos do Mundial.

No digital, a emissora aposta em uma programação robusta no YouTube, com lives diárias de até duas horas.

Sob o comando de Jairo Nascimento, a atração terá análises, repercussão dos jogos e a participação de convidados especiais a cada edição, com comentários do ex-jogador ",2026-04-01 21:49:35-03:00,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/cnn-brasil-entra-em-campo-com-cobertura-multiplataforma-da-copa-2026/,cnnbrasil
Friends: 8 itens para quem é fã de carteirinha da série,"Duas décadas após o fim, a produção continua a ocupar lugar de destaque entre as sitcoms mais influentes da televisão","As dez temporadas completas da série estão disponíveis no streaming da HBO Max

Duas décadas após o fim, a produção continua a ocupar lugar de destaque entre as sitcoms mais influentes da televisão

Friends: 8 itens para quem é fã de carteirinha da série

Ainda que lançada há mais de 30 anos, Friends permanece como uma das maiores séries de comédia de todos os tempos. Com 10 temporadas, somando 236 episódios, a trama acompanha um grupo de amigos durante a fase inicial da vida adulta. Para quem nunca superou o clássico, vale apostar em itens temáticos para manter os personagens vivos.

Em comemoração ao sucesso da série, o elenco se reuniu em 2021 para um especial de uma hora e meia, contando um pouco dos bastidores e trazendo curiosidades inéditas da produção. Lançado pela HBO, o longa-metragem reuniu Jennifer Aniston, Courteney Cox, Lisa Kudrow, David Schwimmer, Matt LeBlanc e Matthew Perry pela última vez. Perry faleceu dois anos depois, em outubro de 2023, decorrente de uma overdose.

Com estreia em 1994, a história dos seis nova-iorquinos marcou gerações não só pelo humor cheio de ironias, mas também pelas tendências de moda lançadas pelos personagens, que traziam às telas a icônica moda da década de 1990.

O corte de cabelo, as maquiagens e até os looks de Rachel Green, personagem interpretada por Aniston, seguem como inspirações de estilo até hoje.

Mais do que o universo fashion, Friends dominou o mercado comercial de ponta a ponta. Ainda hoje, 22 anos após a exibição do episódio final, é comum encontrar itens decorativos, bonecos colecionáveis, maquiagens e até cafés com frases e referências à série criada por David Crane e Marta Kauffman.

Para quem é fã de carteirinha e, volta e meia, maratona todos os episódios novamente, apostar nesses produtos pode ser uma forma de trazer o universo do Central Perk para o dia a dia.

Pensando nisso, o CNN Review reuniu itens inspirados na série que prometem agradar aos admiradores da produção.",2026-04-01 09:24:46-03:00,https://www.cnnbrasil.com.br/review/cultura-e-entretenimento/friends-8-itens-para-quem-e-fa-de-carteirinha-da-serie/,cnnbrasil
Caça aos ovos: veja itens para organizar a brincadeira de Páscoa em casa,A dinâmica de procurar os chocolates deixa o feriado mais leve e divertido para quem celebra em família ou entre amigos,"A dinâmica de procurar os chocolates deixa o feriado mais leve e divertido para quem celebra em família ou entre amigos

Caça aos ovos: veja itens para organizar a brincadeira de Páscoa em casa

A Páscoa, que neste ano será celebrada no domingo de 05 de abril, é um dos feriados mais aguardados do calendário brasileiro. Seja por tradição religiosa ou apenas por quem espera ansiosamente pela troca dos famosos ovos de chocolate, o evento é uma oportunidade para planejar dinâmicas entre familiares e amigos.

Celebrada no domingo após a primeira lua cheia que sucede o equinócio de março, a Páscoa é um feriado tradicionalmente cristão, comemorando a ressurreição de Jesus Cristo, como narrado nos livros bíblicos. Com o passar dos anos, no entanto, a data também ganhou um caráter cultural e comercial, passando a integrar oficialmente o calendário ocidental.

Com a tradicional troca dos ovos de chocolate, o feriado tornou-se bastante importante para a economia brasileira, movimentando bilhões de reais anualmente — em 2025, o valor esperado era de R$ 5, 3 bilhões, de acordo com dados Associação Brasileira das Empresas de Cartões de Crédito e Serviços (Abecs), em pesquisa em parceria com o Instituto Datafolha.

Para além do varejo, a data também é uma oportunidade de promover encontros entre os entes queridos. Entre a Sexta-feira Santa e o almoço de Páscoa, no domingo, muitas famílias organizam festas e dinâmicas temáticas para celebrar a ocasião, como a tradicional busca pelos ovos.

A brincadeira consiste em organizar uma espécie de “caça ao tesouro”, deixando dicas e até mesmo pegadas de coelho pela casa para guiar os grupos até o presente final. Para quem quer aderir à tradição, o CNN Review separou alguns itens para montar a atividade.

Caça aos ovos de Páscoa

Seja para entreter as crianças ou promover uma dinâmica entre amigos, a caça aos ovos é uma das brincadeiras mais tradicionais do feriado de Páscoa. O segredo é esconder os chocolates (sejam ovos grandes ou pequeno",2026-04-01 08:00:25-03:00,https://www.cnnbrasil.com.br/review/casa/caca-aos-ovos-veja-itens-para-organizar-a-brincadeira-de-pascoa-em-casa/,cnnbrasil
Bortoleto exalta aprendizado na Fórmula 1 e rasga elogios à Audi,Confira o Stories: Bortoleto exalta aprendizado na Fórmula 1 e rasga elogios à Audi . Acesse a CNN Brasil e confira nossos Web Stories exclusivos.,"A forma como estou lidando com as coisas agora, também o entendimento de como encarar meus fins de semana, como estou trabalhando com a equipe. Agora eu me sinto muito mais relaxado e comprometido com o projeto de alguma forma",Data Indisponível,https://stories.cnnbrasil.com.br/esportes/bortoleto-exalta-aprendizado-na-formula-1-e-rasga-elogios-a-audi/,cnnbrasil
