titulo,subtitulo,texto,data,url,portal
Ex de Vorcaro diz que não sabia de irregularidades e critica exposição de intimidade,"A modelo e influenciadora Martha Graeff, ex-noiva de Daniel Vorcaro, divulgou nesta quarta-feira (8) um vídeo em uma rede social em que diz que não sabia de irregularidades do Banco Master, afirma não ter ganhado presentes de luxo e critica o vazamento de mensagens íntimas entre ela e o ex-companheiro.","A modelo e influenciadora Martha Graeff, ex-noiva de Daniel Vorcaro, divulgou nesta quarta-feira (8) um vídeo em uma rede social em que diz que não sabia de irregularidades do Banco Master, afirma não ter ganhado presentes de luxo e critica o vazamento de mensagens íntimas entre ela e o ex-companheiro.",,https://g1.globo.com/politica/video/ex-de-vorcaro-diz-que-nao-sabia-de-irregularidades-e-critica-exposicao-de-intimidade-14506885.ghtml,g1
De onde vem o que eu como,"Reportagens mostram que regiões dominam a produção da cultura, o peso dela no agronegócio e na economia brasileira, além da história e de curiosidades.","Episódio conta sobre a história da borracha desde a extração do látex até sua presença na indústria.

De onde vem o que eu como",,https://g1.globo.com/podcast/de-onde-vem-o-que-eu-como/,g1
Menos 30 Fest 2021,G1 Empreendedorismo - Menos 30 Fest 2021,"'Empreender do Zero': conheça o programa de acompanhamento para novos negócios da Inventivos

O programa acontece por meio da Inventivos, plataforma de formação de novos empreendedores fundada por Monique Evelle e Lucas Santana. As vagas são limitadas.",,https://g1.globo.com/empreendedorismo/menos30fest/,g1
G1 – Ribeirão Preto e Franca: notícias e vídeos da EPTV,"Últimas notícias da região de Ribeirão Preto e Franca (SP). Acompanhe informações de trânsito, previsão do tempo, agenda cultural, telejornais e coberturas especiais da EPTV SP.","Obra de R$ 11,3 milhões está parada

DER informa que continuidade depende de desapropriação, enquanto Prefeitura alega que, para fazer isso, espera projeto do estado.",,https://g1.globo.com/sp/ribeirao-preto-franca/,g1
Gilmar Mendes quer ação contra Vieira; ala discute inelegibilidade,"Relatório final da CPI do crime organizado pedia indiciamento dos ministros Dias Toffoli, Alexandre de Moraes e Gilmar Mendes, e do procurador-geral da República Paulo Gonet.","Se Gilmar Mendes confirmar o pedido e a representação for adiante, quem deve discutir o caso é a Primeira Turma do STF (ministro decano está na segunda turma). Vale ressaltar que é a própria Corte quem julga a denúncia.",2026-04-14 00:00:00,https://g1.globo.com/politica/blog/andreia-sadi/post/2026/04/14/gilmar-mendes-quer-acao-contra-alessandro-vieira-ala-da-corte-articula-inelegibilidade.ghtml,g1
Governo estuda zerar impostos sobre querosene de aviação para baratear passagens aéreas,Ministério dos Portos e Aeroportos apresentou pacote de medidas para tentar frear aumento de preços nas passagens. Entre as propostas está reduzir impostos federais sobre o combustível.,"1 de 1 Mesmo antes do anúncio da Petrobras, as passagens aéreas já vinham subindo — Foto: Getty Images

Mesmo antes do anúncio da Petrobras, as passagens aéreas já vinham subindo — Foto: Getty Images",2026-04-06 00:00:00,https://g1.globo.com/economia/noticia/2026/04/06/governo-estuda-zerar-imposto-do-querosene-de-aviacao-para-baratear-passagens-aereas.ghtml,g1
O que fazer em Santos – G1 Santos e Região,"Dicas e reportagens sobre shows, teatro, arte, exposições, literatura, gastronomia e opções de lazer para você se divertir e conhecer melhor a cidade de Santos e região.","'Um Dia Muito Especial' revisita uma das histórias mais sensíveis do cinema mundial. Há sessões no sábado (4) e no domingo (5), no Teatro Municipal de Santos.",,https://g1.globo.com/sp/santos-regiao/o-que-fazer-em-santos/,g1
CPI do Crime Organizado deve ouvir Cláudio Castro e ter votação de relatório final nesta terça,"Trabalhos da CPI se encerram nesta semana. Senadores tentaram prorrogação, mas Alcolumbre decidiu não dar continuidade ao colegiado. ","CPI do Crime Organizado deve ouvir Cláudio Castro e ter votação de relatório final nesta terça

Trabalhos da CPI se encerram nesta semana. Senadores tentaram prorrogação, mas Alcolumbre decidiu não dar continuidade ao colegiado.",2026-04-13 00:00:00,https://g1.globo.com/politica/noticia/2026/04/13/cpi-do-crime-organizado-deve-ouvir-claudio-castro-e-votacao-de-relatorio-final-nesta-terca.ghtml,g1
Notícias e Vídeos da InterTV RJ,"Últimas notícias de Petrópolis, Nova Friburgo, Teresópolis e outras cidades. Acompanhe informações previsão do tempo, agenda cultural e telejornais da InterTV RJ.","Incêndio de grandes proporções no Parque Nacional da Serra dos Órgãos é visto a 25 km de distância, em Magé

Fogo começou na tarde de domingo (19) e mobilizou brigadistas, voluntários e bombeiros; há risco de avanço das chamas para a região de Santo Aleixo.",,https://g1.globo.com/rj/regiao-serrana/,g1
Governo avalia liberar parte do FGTS para o pagamento de dívidas,"Segundo o ministro da Fazenda, Dario Durigan, há uma preocupação com a sustentabilidade do fundo. O presidente Luiz Inácio Lula da Silva (PT) tem dito que as dívidas estão consumindo boa parte da renda dos brasileiros.","“Estamos avaliando isso [liberar o uso do FGTS para o pagamento de dívidas] com o Ministério do Trabalho, que tem uma preocupação com a higidez do fundo de garantia. Ao se fazer uma análise, se a gente achar que for razoável uma utilização para o refinanciamento de algumas dívidas, isso vai ser admitido”, afirmou.",2026-04-07 00:00:00,https://g1.globo.com/politica/noticia/2026/04/07/governo-avalia-liberar-parte-do-fgts-para-o-pagamento-de-dividas.ghtml,g1
