titulo,subtitulo,texto,data,url,portal
Ibaneis sumiu na véspera da prisão do ex-presidente do BRB,"Alexandre Garcia comenta o sumiço do ex-governador Ibaneis Rocha, o mau exemplo do STF e a retirada de homenagem a almirante da Marinha","O ex-governador de Brasília Ibaneis Rocha sumiu, e sumiu na véspera da prisão do ex-presidente do BRB Paulo Henrique Costa. Interessante: ele pode ter tido informação de que o ex-presidente do banco seria preso e imediatamente sumiu. Ninguém sabe onde ele está.

Eu estou na França, quem sabe eu dou de cara com ele por aqui. A gente sabe por que ele sumiu: foi medo de ser preso. Ele imaginou que, prendendo o ex-presidente do BRB, o prenderiam também.

É uma atitude que o incrimina, porque ele reconhece que tanto o ex-presidente do Banco de Brasília como ele têm responsabilidade sobre a tentativa de compra do Banco Master, para aliviar o Daniel Vorcaro do banco quebrado.

Ele estava comprando R$ 12 bilhões em títulos podres. Os dois convenceram o Legislativo de Brasília a aprovar, por 14 a 10 — em um total de 24 deputados distritais —, a compra do banco, que o Banco Central vetou, porque ia contaminar o banco estatal do Distrito Federal, que é um dos poucos estatais de unidades da federação que ainda subsistem. Ninguém sabe que fim levou Ibaneis. Ibaneis sumiu.

STF dá mau exemplo

Vejam só o mau exemplo, de impunidade, que o Supremo Tribunal Federal (STF) deu na Operação Lava Jato, ao livrar a maior parte das pessoas, principalmente o presidente Luiz Inácio Lula da Silva. Transmitiu a mensagem para os mal intencionados de que corrupção fica na impunidade.

O Maurício Camisotti, ligado ao Careca do INSS, foi preso, fez delação premiada e se comprometeu a devolver R$ 400 milhões. Ou seja, ele tem R$ 400 milhões, cash à vista, depositados à vista em algum paraíso fiscal para devolver. Isso só aconteceu na Lava Jato, mas foi um décimo disso: foi o Pedro Barusco, gerente da Petrobras, que se comprometeu a devolver cerca de R$ 40 milhões.

Quer dizer que essa gente vai levando, vai levando e depositando num banco fora do Brasil. É o crime compensando. Depois que Lula foi solto, depois que o Dias Toffoli liberou a multa da JBS — uma coisa que todo mundo tomou como um escând",,https://www.gazetadopovo.com.br/vozes/alexandre-garcia/ibaneis-rocha-sumiu-vespera-prisao-ex-presidente-brb/,gazetadopovo
Quanto vale a Lua? E quem pode explorar seus recursos?,A Lua deixou de ser apenas um símbolo ou objeto científico. Ela é um sistema econômico potencial. Leia na Gazeta do Povo.,"A Lua pode em breve se tornar o ativo mais valioso que a humanidade já encontrou – não simbolicamente, mas economicamente. Estimativas baseadas na composição mineral lunar, especialmente hélio-3, terras raras e metais estratégicos, sugerem um valor teórico próximo de US$ 5 quadrilhões.

Esse número supera amplamente qualquer referência econômica atual: os Estados Unidos produzem cerca de US$ 27 trilhões por ano, a China aproximadamente US$ 18 trilhões, e toda a economia global gira em torno de US$ 105 trilhões.

Na prática, o valor estimado da Lua supera a economia mundial dezenas de vezes. Nenhum Estado, empresa ou sistema financeiro atualmente existente conseguiria absorver ou controlar um ativo dessa magnitude sem transformar profundamente as estruturas econômicas globais. Ainda assim, a questão mais importante não é econômica. É jurídica.

A base do direito espacial continua sendo o Tratado do Espaço Exterior, um acordo da Guerra Fria criado para evitar a militarização e a apropriação nacional do espaço. Ele estabelece que o espaço é “patrimônio de toda a humanidade”, proíbe reivindicações de soberania sobre corpos celestes e determina seu uso pacífico. Esses princípios foram revolucionários em 1967. Hoje, são insuficientes.

A Lua deixou de ser apenas um símbolo ou objeto científico. Ela é um sistema econômico potencial, um campo geopolítico e um teste jurídico profundo. Seu valor estimado, na casa dos quadrilhões, é impressionante

O tratado não regula de forma clara a propriedade dos recursos extraídos nem define os limites da atuação privada. Surge, assim, uma ambiguidade estrutural: nenhum Estado pode ser dono da Lua, mas não está claro quem pode ser dono dos recursos retirados dela.

Nos últimos anos, essa lacuna tem sido parcialmente preenchida por legislações nacionais. Os Estados Unidos, por exemplo, já reconheceram direitos privados sobre recursos espaciais extraídos por seus cidadãos. Iniciativas semelhantes surgiram em outros países.

No entanto, ess",,https://www.gazetadopovo.com.br/opiniao/artigos/quanto-vale-a-lua-e-quem-pode-explorar-seus-recursos/,gazetadopovo
Conheça o filósofo que trouxe Deus de volta à universidade,"Laureado com o Prêmio Templeton, Alving Plantinga levou a crença em Deus de volta ao centro do debate filosófico","Quando o filósofo Alvin Plantinga subiu ao palco para aceitar o Prêmio Templeton, em 2017, fez uma observação direta. ""Não sei se fiz muito progresso na religião"", disse ao receber a honraria apelidada de ""Nobel da Religião"". ""Comecei como membro da Igreja Cristã Reformada e ainda sou um cristão reformado."" A frase sintetiza o tom de sua trajetória. Em um ambiente acadêmico que tratou a fé como um problema intelectual, Plantinga sustentou uma tese específica: crer pode ser racional.

Segundo o filósofo israelense e judeu ortodoxo Yoram Hazony, a filosofia de Plantinga atingiu o ""velho e sonolento ateísmo das universidades como um tornado passando por um palheiro"", tornando a crença em Deus uma possibilidade acadêmica novamente. E isso se explica pela trajetória dele.

Plantinga dedicou sua carreira, com passagens pelo Calvin College e pela Universidade de Notre Dame, a sustentar que a fé cristã não é apenas um consolo emocional, mas uma posição que pode ser tratada como racional. Para entender sua importância no cenário intelectual de 2026, é útil situá-lo entre dois marcos que influenciaram o pensamento ocidental: o otimismo metafísico de Aristóteles e o diagnóstico de crise de Friedrich Nietzsche.

Em Aristóteles, Deus aparece como o ""Primeiro Motor Imóvel"", a causa que explica o movimento e a ordem do mundo. A ideia ocupa papel estrutural na metafísica clássica. Não se trata de um elemento periférico, mas de uma tentativa de explicar por que há movimento em vez de imobilidade.

Esse eixo, que guiou a filosofia por séculos, entra em crise na modernidade. No século XIX, Nietzsche lançou o diagnóstico de que ""Deus está morto"". Ele não estava apenas defendendo o ateísmo, mas apontando que o colapso da fé em Deus teria consequências para a moralidade ocidental construída sobre esse alicerce. Abandonar o divino colocaria em questão pressupostos que orientaram o pensamento por séculos. A tese aristotélica foi relevante, por exemplo, no desenvolvimento da teologia de Tom",,https://www.gazetadopovo.com.br/ideias/conheca-o-filosofo-que-trouxe-deus-de-volta-a-universidade/,gazetadopovo
Como as decisões do STF atuais se aproximam do AI-5,"Como algumas das decisões recentes sobre liberdade do STF se aproximam do AI-5, o ato mais duro da ditadura","Ato pela Anistia em São Paulo, durante a ditadura militar (Foto: Ennco Beanns/Memórias da Ditadura/Fundo Arquivo Público do Estado de São Paulo )

Algumas das restrições do decreto mais duro da ditadura militar, o AI-5, estão de volta. Censura prévia, centralização de poder e proibição de manifestações políticas são semelhanças que vão além de meras coincidências.

Dadas as diferenças históricas de alcance e opressão, algumas decisões do Supremo Tribunal Federal (STF) que limitam a liberdade e controlam o Executivo e o Legislativo se aproximam das impostas em 1968 pelos militares.

A “releitura” do AI-5 em 2025 é digital, sutil e opera dentro da lei. Essa característica, segundo especialistas, torna a versão atual mais complexa: se o Judiciário decide tudo em nome da democracia, para onde recorrer?

As semelhanças e coincidências

O Ato Institucional Número Cinco (AI-5) foi assinado em 13 de dezembro de 1968 (coincidentemente, o dia em que nasceu Alexandre de Moraes).

Assinado pelo então presidente Arthur da Costa e Silva, foi o mais repressivo dos atos institucionais da ditadura militar e deu início aos ""anos de chumbo"", o período mais sombrio e violento do regime.

Além de atos contra a liberdade de expressão em geral, dos 12 artigos do AI-5, os artigos 5º, 8º e 11º se aproximam de algumas decisões atuais do STF.

O artigo 5º do decreto suspendia direitos políticos e, entre outras proibições, impedia “atividades ou manifestação sobre assunto de natureza política”.

No último fim de semana, o ministro Moraes proibiu qualquer acampamento num raio de um quilômetro na Praça dos Três Poderes, na Esplanada dos Ministérios ou de quartéis militares em Brasília.

A decisão veio após deputados federais terem acampado na Praça em protesto pacífico. Moraes determinou a retirada imediata dos deputados, sob risco de prisão em flagrante. No entendimento do ministro do STF, com a mobilização, os deputados estariam ""participando de possível prática criminosa"".

“Hoje ainda é pior",,https://www.gazetadopovo.com.br/ideias/como-decisoes-do-stf-se-aproximam-do-ai-5-o-ato-decreto-mais-duro-da-ditadura-militar/,gazetadopovo
Igreja de 255 anos em Guaratuba aguarda início da restauração,Saiba na Gazeta do Povo o que falta para restaurar a igreja de 255 anos de Guaratuba (PR) e como será o projeto de recuperação.,"Restauração da igreja de 255 anos de Guaratuba depende de recursos para sair do papel e preservar a história local. (Foto: Thaís Freitas/Prefeitura de Guaratuba )

A igreja histórica de Nossa Senhora do Bom Sucesso vai passar por restauração em Guaratuba (PR). O templo, erguido no século XVIII e tombado pelo Instituto do Patrimônio Histórico e Artístico Nacional (Iphan), reúne histórias de fé e registros da colonização do litoral paranaense.

Receba as principais notícias do Paraná pelo WhatsApp

A obra está orçada em R$ 6 milhões, mas ossadas encontradas no interior e no entorno da igreja exigem um tempo maior de estudos e coletas, antes do início dos trabalhos da restauração, de acordo com a secretaria de Cultura e Turismo de Guaratuba.

""O restauro da igrejinha de Nossa Senhora do Bom Sucesso é fundamental para a preservação da memória coletiva, da identidade cultural e da história de nossa comunidade, funcionando como uma ponte física entre o passado e o presente"", afirma a historiadora Rocio Bevervanso.

VEJA TAMBÉM: As igrejas históricas que guardam a memória de Curitiba

Restauração avança com apoio público, mas depende de outras fontes de recursos

O projeto de restauro foi elaborado pela empresa ArquiBrasil, contratada pelo Iphan com recursos de emenda parlamentar. A proposta prevê intervenções estruturais e ações de conservação com o objetivo de garantir a integridade desse patrimônio histórico.

A restauração resulta do diálogo entre representantes do Iphan, da paróquia, sociedade civil e poder público. O grupo definiu como prioridade a recuperação da cobertura do templo. A paróquia avalia contratar essa etapa com recursos de uma emenda da Câmara Municipal, mas ainda não confirma prazo para início.

A equipe técnica do Iphan orientou a comunidade a ampliar a busca por recursos. O grupo pode inscrever o projeto no Programa Nacional de Apoio à Cultura e no Programa Estadual de Fomento e Incentivo à Cultura do Paraná. Esses mecanismos permitem apoio de empre",,https://www.gazetadopovo.com.br/parana/o-que-falta-para-restauracao-igreja-de-250-anos-construida-com-conchas-oleo-de-baleia/,gazetadopovo
Filantropia 2.0: da doação à inovação científica nas doenças raras,"Existem hoje milhares de doenças raras aguardando alguém com visão, recursos e disposição. Leia na Gazeta do Povo.","Todos os anos, o começo do ano marca a conscientização sobre doenças raras. O nome pode enganar. Há cerca de 7 mil condições classificadas como raras no planeta, e juntas elas afetam mais de 300 milhões de pessoas – uma das maiores populações de pacientes do mundo, invisível aos olhos do mercado e das políticas públicas. Desse total, o Ministério da Saúde estima que 13 milhões estão no Brasil. Rara não é a doença. Rara é a atenção que ela recebe.

O paradoxo está no próprio critério de classificação. Nos Estados Unidos, o FDA define como rara qualquer doença que afete menos de 200 mil pessoas em um país de 320 milhões. Isso significa que uma condição pode atingir centenas de milhares de crianças ao redor do mundo e ainda assim não despertar o interesse da indústria farmacêutica simplesmente porque o retorno comercial não compensa o investimento em pesquisa. Quatro centavos de cada dólar destinado à pesquisa oncológica chegam ao câncer pediátrico. O resto vai para onde o mercado enxerga escala.

Existem hoje milhares de doenças raras aguardando exatamente esse movimento: alguém com visão, recursos e disposição para recusar a lógica do 'não vale a pena' e perguntar, em vez disso, 'quanto custaria descobrir a cura?'

É essa falha sistêmica que transforma diagnósticos raros em sentenças. Não porque a ciência seja incapaz de encontrar respostas, mas porque ninguém financiou as perguntas certas. Foi diante de um desafio particular que entendi o peso da luta de quem enfrenta uma doença rara. Meu filho Frederico foi diagnosticado em 2015 com meduloblastoma, tumor cerebral maligno mais frequente na infância. Representa cerca de 20% de todos os cânceres pediátricos no cérebro, com diagnóstico concentrado entre os 5 e os 9 anos de idade. São estimados entre 15 e 20 mil novos casos por ano no mundo. O protocolo de tratamento padrão (cirurgia, radioterapia intensa e quimioterapia de alta toxicidade) foi desenvolvido na década de 1980. Quarenta anos de avanço tecnológico e cientí",,https://www.gazetadopovo.com.br/opiniao/artigos/filantropia-doacao-inovacao-cientifica-doencas-raras/#comentarios?ref=comentarios-materia,gazetadopovo
Filantropia 2.0: da doação à inovação científica nas doenças raras,"Existem hoje milhares de doenças raras aguardando alguém com visão, recursos e disposição. Leia na Gazeta do Povo.","Todos os anos, o começo do ano marca a conscientização sobre doenças raras. O nome pode enganar. Há cerca de 7 mil condições classificadas como raras no planeta, e juntas elas afetam mais de 300 milhões de pessoas – uma das maiores populações de pacientes do mundo, invisível aos olhos do mercado e das políticas públicas. Desse total, o Ministério da Saúde estima que 13 milhões estão no Brasil. Rara não é a doença. Rara é a atenção que ela recebe.

O paradoxo está no próprio critério de classificação. Nos Estados Unidos, o FDA define como rara qualquer doença que afete menos de 200 mil pessoas em um país de 320 milhões. Isso significa que uma condição pode atingir centenas de milhares de crianças ao redor do mundo e ainda assim não despertar o interesse da indústria farmacêutica simplesmente porque o retorno comercial não compensa o investimento em pesquisa. Quatro centavos de cada dólar destinado à pesquisa oncológica chegam ao câncer pediátrico. O resto vai para onde o mercado enxerga escala.

Existem hoje milhares de doenças raras aguardando exatamente esse movimento: alguém com visão, recursos e disposição para recusar a lógica do 'não vale a pena' e perguntar, em vez disso, 'quanto custaria descobrir a cura?'

É essa falha sistêmica que transforma diagnósticos raros em sentenças. Não porque a ciência seja incapaz de encontrar respostas, mas porque ninguém financiou as perguntas certas. Foi diante de um desafio particular que entendi o peso da luta de quem enfrenta uma doença rara. Meu filho Frederico foi diagnosticado em 2015 com meduloblastoma, tumor cerebral maligno mais frequente na infância. Representa cerca de 20% de todos os cânceres pediátricos no cérebro, com diagnóstico concentrado entre os 5 e os 9 anos de idade. São estimados entre 15 e 20 mil novos casos por ano no mundo. O protocolo de tratamento padrão (cirurgia, radioterapia intensa e quimioterapia de alta toxicidade) foi desenvolvido na década de 1980. Quarenta anos de avanço tecnológico e cientí",,https://www.gazetadopovo.com.br/opiniao/artigos/filantropia-doacao-inovacao-cientifica-doencas-raras/,gazetadopovo
Aécio Neves se tornou o “neto caduco da democracia”,As últimas falas de Aécio Neves sobre o STF e a CPI do Crime Organizado representam um apoio à tirania que tomou conta do Brasil.,"É impressionante a falta de memória dos brasileiros de um modo geral. Triste perceber que ainda há “currais eleitorais” num país que já deveria ter se livrado desse modelo há muito tempo. Politiqueiros que estão na vida pública há muito tempo ainda conseguem ser eleitos, quando deveriam estar mortos politicamente. Tanto já fizeram de errado, tanto deixaram de fazer, e os eleitores ainda digitam o seu número na urna eletrônica, entregando o país a um caos sem fim.

Aécio Neves é hoje um dos maiores exemplos desse descalabro. Deveria estar soterrado, entregue à inexistência política, lembrado apenas como referência negativa, como aquilo de que não precisamos. Em vez disso, anda por aí, confortavelmente, propondo “soluções” para restabelecer a confiança da sociedade no Poder Judiciário... E as últimas falas do deputado federal representam um apoio à tirania que tomou conta do Brasil.

As últimas falas de Aécio Neves representam um apoio à tirania que tomou conta do Brasil

Aécio resolveu criticar, sem nenhum pudor, a abertura de processos de impeachment de ministros do Supremo Tribunal Federal. O dispositivo é legal, constitucional, e não faltam razões para o afastamento de alguns magistrados que praticaram abusos, arbítrios e ilegalidades e andam agora envolvidos com o dono de um banco fraudulento. Mesmo assim, o tucano afirma: “O Brasil está precisando de tudo, menos de mais ruptura”. É inacreditável que um deputado federal, mesmo diante de tantas interferências do STF no Legislativo, venha com algo assim. Então, o politiqueiro Aécio, suspeito de corrupção em tantas ocasiões, é contra a ruptura com aquilo que não presta?

O mineiro ainda criticou o relatório não aprovado da CPI do Crime Organizado, que pedia o indiciamento, por crime de responsabilidade, de três ministros do Supremo: Dias Toffoli, Alexandre de Moraes e Gilmar Mendes. Aécio achou “frágil” o relatório do senador Alessandro Vieira (MDB-SE) e chamou o texto de “peça eleitoral”. E piora: o tucano achou no",,https://www.gazetadopovo.com.br/vozes/luis-ernesto-lacombe/aecio-neves-stf-impeachment-moraes-gilmar/,gazetadopovo
Peru ainda não definiu segundo turno; entenda,"Apuração lenta, atas contestadas e disputa apertada explicam por que o Peru ainda não definiu quem vai ao segundo turno das eleições","Apoiadores de Rafael López Aliaga vão às ruas em Lima em meio a acusações de fraude e atraso na divulgação dos resultados (Foto: EFE/ John Reyes )

Uma semana após a realização das eleições presidenciais, o Peru ainda não tem definido quem disputará o segundo turno. O cenário incomum tem gerado incerteza política, tensão nas ruas e questionamentos sobre o processo eleitoral.

A previsão oficial é que o resultado só seja conhecido na segunda quinzena de maio, cerca de um mês depois da votação. A demora é fruto de problemas operacionais, disputas políticas e regras do próprio sistema eleitoral peruano.

O principal motivo para o atraso está no volume elevado de atas eleitorais que precisam ser revisadas. Segundo a autoridade eleitoral, mais de 15 mil atas foram contestadas e devem passar por análise antes da validação final do resultado.

“Nós prevemos, por volta da metade de maio, ter pelo menos os resultados presidenciais, que é o que precisamos para determinar o segundo turno”, afirmou Yessica Clavijo, secretária-geral do órgão eleitoral, em entrevista à rádio RPP.

O processo eleitoral também foi afetado por falhas na organização no dia da votação, especialmente na capital, Lima. Atrasos na distribuição de urnas e cédulas impediram a abertura de seções eleitorais no horário previsto. Em alguns casos, a votação precisou ser estendida para o dia seguinte para permitir que dezenas de milhares de eleitores participassem.

A lentidão da apuração se torna ainda mais sensível porque a disputa por uma vaga no segundo turno está extremamente acirrada. Com mais de 93% das atas contabilizadas, a candidata de direita Keiko Fujimori lidera com cerca de 17% dos votos.

Já a segunda vaga está em aberto, com o esquerdista Roberto Sánchez e o direitista Rafael López Aliaga separados por pouco mais de 14 mil votos, segundo informações da agência EFE desta segunda-feira (20). Ex-prefeito de Lima, Aliaga pede a “anulação total” do processo, alegando “fraude eleitoral”.

O líder do Re",,https://www.gazetadopovo.com.br/mundo/por-que-o-peru-ainda-nao-sabe-quem-vai-ao-segundo-turno-das-eleicoes-presidenciais/#comentarios?ref=comentarios-materia,gazetadopovo
O que atrai milionários e celebridades para investir em SC,"Milionários e celebridades, como Neymar e Cristiano Ronaldo, investem no litoral de Santa Catarina. Saiba mais na Gazeta do Povo.","Uma cobertura quadriplex no Yachthouse by Pininfarina em Balneário Camboriú, um apartamento no Edify One em Itapema e participação em um megacomplexo esportivo e imobiliário em Porto Belo fazem parte da lista de investimentos de Neymar Jr. em Santa Catarina. O camisa 10 do Santos é apenas um entre os nomes de celebridades que passaram a apostar em negócios imobiliários no litoral catarinense.

Na lista de investidores conhecidos estão Luan Santana, Cristiano Ronaldo, Sorocaba, Alexandre Pires, Celso Portiolli e Ratinho. O movimento chama atenção no estado que concentra quatro das cinco cidades com o metro quadrado mais caro do país, segundo o índice FipeZap.

Além da valorização imobiliária, fatores como segurança e qualidade de vida ajudam a explicar o interesse. Santa Catarina foi apontado como o estado mais seguro do país no Anuário 2025 Cidades Mais Seguras do Brasil, com destaque para os municípios de Brusque, Jaraguá do Sul e Tubarão, além de Florianópolis entre as capitais mais bem colocadas. A taxa de homicídios no estado é de 8,6 por 100 mil habitantes, uma das menores do país.

A NR Sports, empresa da família de Neymar Jr. e proprietária do terreno do edifício Edify One, detém participação societária no empreendimento frente-mar em Itapema (SC). (Foto: Divulgação/Edify One)

Na avaliação do corretor especializado em imóveis alto padrão Bruno Cassola, essa combinação de fatores é peça-chave para evidenciar investimentos no estado. “Santa Catarina reúne praias com forte apelo paisagístico, segurança acima da média nacional, qualidade de vida e uma oferta crescente de imóveis de alto padrão”, elenca.

Segundo ele, há dois perfis predominantes entre os compradores de alto poder aquisitivo, como celebridades e milionários: os que buscam exclusividade e discrição em regiões menos densas e os que preferem o estilo de vida mais movimentado de Balneário Camboriú. “O litoral norte catarinense consegue atender aos dois públicos”, diz.

Verticalização, luxo e impacto ",,https://www.gazetadopovo.com.br/santa-catarina/o-que-atrai-milionarios-celebridades-para-investir-em-santa-catarina/,gazetadopovo
