titulo,subtitulo,texto,data,url,portal
Trump é o 1º presidente a ir à Suprema Corte para acompanhar julgamento de lei que pretende derrubar,Corte dos EUA começou a debater constitucionalidade de decreto do presidente americano que busca restringir cidadania por direito de nascimento,"Confira o resumo que a LE.IA, a IA do Estadão, fez pra você Gerando resumo Abrir o resumo

O presidente Donald Trump compareceu à Suprema Corte dos Estados Unidos nesta quarta-feira, 1º, para acompanhar o julgamento da constitucionalidade do decreto que busca restringir a cidadania por direito de nascimento no país.

PUBLICIDADE A medida faz parte da ampla política de imigração repressiva do governo Trump. O ato é inédito: ele foi o primeiro presidente em exercício a participar de uma audiência oral na mais alta corte do país. A aparição foi interpretada pela imprensa internacional como uma pressão para que tribunal julgue o caso em seu favor.

O mandatário deixou a sala de audiências após o término dos argumentos do procurador-geral Sauer e retornou à Casa Branca.

Publicidade

A decisão da Suprema Corte dos EUA poderá retirar o direito de 200 mil bebês nascidos a cada ano no país.

A aparição foi interpretada pela imprensa internacional como uma pressão para que tribunal julgue o caso em seu favor. Foto: Alex Brandon

O caso em análise mudará o que gerações de americanos sempre entenderam: quase todas as crianças nascidas nos Estados Unidos são automaticamente cidadãs.

O presidente tentou limitar drasticamente a cidadania por nascimento com uma ordem executiva assinada em seu primeiro dia de volta ao cargo, argumentando que bebês nascidos em solo americano, filhos de imigrantes indocumentados e visitantes estrangeiros temporários, não seriam elegíveis.

A ordem executiva confronta a interpretação tradicional da 14ª Emenda da Constituição, ratificada em 1868, segundo a qual toda pessoa nascida em solo americano é cidadã, salvo exceções específicas, como filhos de diplomatas estrangeiros.

Publicidade

O dispositivo foi concebido para assegurar cidadania a negros, incluindo ex-escravizados, e estabelece que “todas as pessoas nascidas ou naturalizadas nos Estados Unidos, e sujeitas à sua jurisdição, são cidadãs”. /Com informações da AP e do NYT",Data Indisponível,https://www.estadao.com.br/internacional/trump-e-o-1-presidente-a-ir-a-suprema-corte-para-acompanhar-julgamento-de-lei-que-pretende-derrubar-npr/,estadao
Pode faltar diesel no Brasil? Entenda o cenário após o conflito no Irã,"No ano passado, consumo total do produto no País foi de 59 milhões de metros cúbicos, sendo que 17 milhões de metros cúbicos importados","Diesel já custa mais que na pandemia? Gasolina do Brasil é a mais cara do mundo? Veja os gráficos 4:34 Guerra e instabilidade no Oriente Médio elevam a preocupação com o preço dos combustíveis. Crédito: Edição: Júlia Pereira

Confira o resumo que a LE.IA, a IA do Estadão, fez pra você Gerando resumo Abrir o resumo

O Brasil não deve sofrer com a falta de diesel no curto prazo, apesar de a oferta do produto ter diminuído por causa do conflito no Irã. Desde o início da guerra - que se alastrou pelo Oriente Médio -, o cenário se agravou com o fechamento do Estreito de Ormuz, por onde passa 20% da produção global de petróleo.

PUBLICIDADE “Não vemos problemas de abastecimento em abril”, afirma Sergio Araújo, presidente-executivo da Associação Brasileira dos Importadores de Combustíveis (Abicom). “O Brasil é muito grande. Pode ser que haja excesso de produto em algum lugar, com um estoque um pouco mais alto. Em outros, pode haver um estoque um pouco menor, com alguma falta pontual.” O Brasil é autossuficiente na produção de petróleo, mas depende de uma fatia das importações de diesel por causa da limitação da capacidade de refino do País. Em geral, essa importação varia entre 25% e 30% do que é consumido no País.

No ano passado, por exemplo, o consumo total do produto no País foi de 59 milhões de metros cúbicos, e o Brasil importou 17 milhões de metros cúbicos de diesel A - aquele sem a mistura do biodiesel. A maior parte veio da Rússia (47%), dos Estados Unidos (33%) e da Índia (9%).

Publicidade

“Não há desabastecimento de diesel no País”, afirma Carlos Orlando, diretor de downstream do Instituto Brasileiro de Petróleo e Gás (IBP). “Nós temos uma produção, que somada às importações, dá uma tranquilidade para abril.”

Setores brasileiros reclamaram de falta de diesel depois do início do conflito no Irã Foto: Daniel Teixeira/Estadão

Embora o cenário não seja crítico, desde o início do conflito, o Brasil colheu relatos de falta de combustível. Como mostrou o Estadão, p",Data Indisponível,https://www.estadao.com.br/economia/pode-faltar-diesel-no-brasil-entenda-o-cenario-apos-o-conflito-no-ira/,estadao
"IR 2026: Quem paga mais imposto sobre o consumo no Brasil é quem tem renda maior, menor ou a classe média?","Mudanças no IR e reforma tributária buscam corrigir desigualdades no Brasil, mas carga de impostos ainda pesa mais sobre a baixa renda; entenda","No caso do IR, a Lei 15.270/2025 ampliou a faixa de isenção para quem recebe até R$ 5 mil por mês e criou, como compensação, um imposto mínimo para contribuintes de alta renda. O texto estabeleceu ainda descontos de forma escalonada para quem ganha entre R$ 5 mil e R$ 7.350 mensais.

O contribuinte que recebe acima de R$ 50 mil por mês ou R$ 600 mil por ano está sujeito ao imposto mínimo da alta renda. A alíquota é gradual e chega a 10% para quem fatura R$ 100 mil ou mais por mês – R$ 1,2 milhão ou mais por ano.

Publicidade

Conteúdos e análises exclusivas para ajudar você a investir. Faça seu cadastro na Ágora Investimentos

Mesmo com o ajuste, o Sindicato dos Auditores-Fiscais da Receita Federal (Sindifisco Nacional) calcula que a defasagem média da tabela do IR está em 157,22%, levando em consideração os resíduos acumulados desde 1996.

Com a correção integral da tabela, só seriam tributados contribuintes com renda mensal acima de R$ 6.694,37, R$ 1.694,37 acima da faixa de isenção atual. Nesse cenário, a alíquota máxima de 27,5% atingiria apenas rendas superiores a R$ 12.374,74, ante os atuais R$ 7.350.

Segundo o estudo, para um contribuinte com rendimento mensal bruto de R$ 6,5 mil, a falta de correção integral da tabela resulta em um recolhimento adicional de R$ 535,04 por mês.

Já para um contribuinte com renda tributável mensal de R$ 10 mil, o imposto pago a mais é de R$ 1.186,87, que corresponde a 371,80% do valor que seria devido no cenário de correção plena. Em contraste, para aqueles com rendimentos tributáveis mensais líquidos superiores a R$ 100 mil, o impacto relativo da defasagem limita-se a 7,86%.

Em 2025, o governo divulgou o estudo “Progressividade Tributária e Desigualdade no Brasil: Evidências a partir de Dados Administrativos Integrados”, produzido por economistas brasileiros e de outras nacionalidades, com a colaboração da Receita Federal.

Segundo o estudo, no Brasil, 1% das pessoas mais ricas do País e que tem renda anual superior a R$ 5,5",2026-04-01 12:32:10-03:00,https://einvestidor.estadao.com.br/educacao-financeira/ir-2026-quem-paga-mais-imposto-no-brasil/,estadao
Nasa lança missão histórica para Lua enquanto EUA veem ameaças de China e Índia na corrida espacial,Missão Artemis II dará a volta no satélite em preparação para um novo pouso em 2028,"Nasa lança missão histórica para Lua enquanto EUA veem ameaças de China e Índia na corrida espacial

Missão Artemis II dará a volta no satélite em preparação para um novo pouso em 2028",Data Indisponível,https://www.estadao.com.br/ciencia/nasa-lanca-missao-historica-para-lua-enquanto-eua-veem-ameacas-de-china-e-india-na-corrida-espacial/,estadao
Multas de pedágio free flow serão suspensas? Entenda o que está em estudo pelo governo,Ministério dos Transportes e ANTT dizem que autuações estão valendo enquanto medida é estudada; governo do Estado de São Paulo afirma acompanhar a discussão,"‘Praças de pedágio serão extintas do Brasil até 2035′, diz CEO da Motiva, concessionária da Dutra 1:50 Crédito: Estadão

Confira o resumo que a LE.IA, a IA do Estadão, fez pra você Gerando resumo Abrir o resumo

O governo federal avalia suspender as multas por evasão do pedágio free flow - sem cancelas e com cobrança automática - aplicadas em todo o País. O Ministério dos Transportes diz que a possibilidade de interrupção das penalidades está em análise pela consultoria jurídica da pasta.

PUBLICIDADE Desde o início da operação do modelo no País, em 2023, já foram aplicadas cerca de 3 milhões de multas. Desse total, mais de 90% das multas não foram pagas, conforme dados apresentados pela Secretaria Nacional de Trânsito à Câmara dos Deputados em março. A Agência Nacional de Transportes Terrestres (ANTT) alerta, porém, que as cobranças e eventuais penalidades já aplicadas seguem válidas, desde que tenham sido feitas conforme as regras da época.

A Agência de Transporte do Estado de São Paulo (Artesp) diz acompanhar as discussões no âmbito federal e reforça que multas do free flow seguem válidas. “Até o momento, não houve qualquer mudança nas regras que suspenda a aplicação de multas por evasão de pedágio ou que desobrigue o pagamento da tarifa”, afirma.

Publicidade

Procurada pelo Estadão, a Associação Brasileira de Concessionárias de Rodovias (ABCR) não comentou.

A reportagem apurou que o plano do governo inclui manter e ampliar o free flow, mas retirar a multa de trânsito e os pontos na carteira de quem deixou de pagar o pedágio no prazo antes da regulamentação. O valor devido, porém, deverá ser quitado – o prazo previsto seria de 30 de dezembro de 2026. Quem continuar inadimplente após esse prazo receberá a penalidade.

O pedágio sem cancelas tem sido uma das principais apostas das novas concessões rodoviárias, sob os argumentos de aumentar a fluidez do trânsito e reduzir custos. O modelo funciona por leitura automática da placa do veículo, que passa pelo pórtico",Data Indisponível,https://www.estadao.com.br/brasil/multas-de-pedagio-free-flow-serao-suspensas-entenda-o-que-esta-em-estudo-pelo-governo/,estadao
The Economist diz que STF está envolvido em ‘enorme escândalo’,"Revista britânica afirma que, mesmo tendo um papel importante na defesa da democracia, o Supremo ‘tem se mostrado mais intransigente’ no caso do Banco Master","Solução do caso Master empurra STF para crise sobre vazamento de dados de ministros 2:38 Nos bastidores, grupo de Alexandre de Moraes se posiciona contra aliados de Edson Fachin em novo embate. Crédito: Carolina Brígido/Estadão

A revista britânica The Economist afirmou que o Supremo Tribunal Federal (STF) está envolvido em um “enorme escândalo”. O texto publicado nesta terça-feira, 24, relata a investigação das fraudes financeiras do Banco Master e o envolvimento do banqueiro Daniel Vorcaro com os ministros da Corte.

“Mesmo defendendo a democracia, o tribunal tem se mostrado mais intransigente, por vezes interpretando críticas a seus membros como um ataque à própria democracia”, afirma a revista, fazendo referência ao papel do STF ao julgamento que condenou o ex-presidente Jair Bolsonaro (PL) a 27 anos de prisão por tentativa de golpe após perder a reeleição em 2022.

Fachada do STF: The Economist destaca as ligações dos ministros Dias Toffoli e Alexandre de Moraes com o caso do Banco Master Foto: Wilton Junior/Estadão

PUBLICIDADE A publicação destaca as ligações de dois membros do STF com o Master: os ministros Dias Toffoli e Alexandre de Moraes. “Os problemas começaram desde o início”, afirma a revista. Toffoli, que foi designado inicialmente para ser o relator da investigação do banco no Supremo, viajou de jatinho particular com o advogado Augusto Arruda Botelho, que presta serviços a membros do banco.

Publicidade

A revista destaca também a participação do ministro em negócios com o banqueiro. Como mostrou o Estadão, Toffoli é sócio anônimo da Maridt, que é dirigida por dois irmãos dele e tinha participação em dois resorts da rede Tayayá. A empresa vendeu sua fatia no negócio de hospedagem no Paraná a fundo de investimento que tinham como acionista o pastor Fabiano Zettel, cunhado e operador financeiro de Vorcaro. Quando as conexões vieram à tona, Toffoli pediu para deixar a relatoria do inquérito que apura as irregularidades do Master no STF.

O texto da Th",Data Indisponível,https://www.estadao.com.br/politica/the-economist-diz-que-stf-esta-envolvido-em-enorme-escandalo-nprp/,estadao
PF tenta prender empresário do RJ suspeito de comprar dados sigilosos de esposa de Moraes,"Nova fase da Operação Exfil nesta quarta-feira, 1°, cumpre um mandado de prisão preventiva e seis mandados de busca e apreensão em São Paulo e Rio de Janeiro; defesa ainda não se manifestou","“Além da Receita Federal, é preciso investigar também a atuação de Dias Toffoli"", afirma Andreazza 1:04 Carlos Andreazza fala sobre caso Master e os desdobramentos envolvendo ministros do Supremo, Receita Federal e as novas investigações abertas. Crédito: TV Estadão

BRASÍLIA – A Polícia Federal deflagrou na manhã desta quarta-feira, 1º, uma nova fase da Operação Exfil, que apura um esquema de obtenção ilícita de dados fiscais de autoridades e seus familiares.

PUBLICIDADE Agentes federais cumprem um mandado de prisão preventiva e seis mandados de busca e apreensão, expedidos pelo Supremo Tribunal Federal (STF), no Rio de Janeiro e em São Paulo. O alvo de prisão é o empresário carioca Marcelo Conde, que atua no ramo imobiliário e é filho de um ex-prefeito do Rio de Janeiro. Com base em depoimentos, a PF identificou suspeitas de que ele pagou servidores da Receita Federal para ter acesso aos dados da advogada Viviane Barci de Moraes, esposa do ministro Alexandre de Moraes –que também foi responsável por autorizar a ação. A defesa dele ainda não se manifestou. O empresário não foi localizado pela PF e há suspeita de que esteja no exterior.

A primeira fase da operação foi deflagrada em 17 de fevereiro “para apurar o repasse de documentos fiscais submetidos a proteção legal, e obtidos de forma criminosa mediante remuneração”, segundo a PF.

Publicidade

Em janeiro, Moraes abriu de ofício um inquérito para investigar se a Receita Federal e o Coaf quebraram de forma irregular o sigilo fiscal de ministros da Corte e de seus familiares Foto: Marcelo Camargo/Agência Brasil

Na primeira etapa, quatro servidores da Receita Federal cedidos a outros órgãos foram alvo de mandados de busca e apreensão. Eles foram afastados das funções, tiveram os sigilos bancário, fiscal e telemático quebrados e ficaram proibidos de sair das cidades onde moram, além de obrigados a cumprir recolhimento domiciliar no período noturno e aos fins de semana.

Em movimento incomum, o Supremo divulgou o ",Data Indisponível,https://www.estadao.com.br/politica/blog-do-fausto-macedo/por-ordem-do-supremo-pf-procura-suspeito-de-vazar-dados-fiscais-de-autoridades/,estadao
Qualidade do debate sobre visões da Constituição e do direito é chave na avaliação de Jorge Messias,"Atuação da Procuradoria de Defesa da Democracia, criada dentro da AGU quando indicado de Lula comandava o órgão, deve ser analisada durante processo de discussão da indicação pelo Senado Federal","O presidente Lula formalizou, finalmente, a sua indicação do Jorge Messias ao Senado Federal para vaga aberta no Supremo Tribunal Federal (STF). O processo agora será analisado primeiro na Comissão de Constituição e Justiça (CCJ), depois o indicado será sabatinado, a famosa Sabatina, que desde Floriano Peixoto nunca recusou nenhuma indicação vinda da Presidência da República. É provável que isso não aconteça novamente, mas o fundamental para o País é qual será a qualidade do debate jurídico sobre visões sobre a Constituição, sobre o direito, sobre garantias fundamentais, sobre o Estado brasileiro na sua relação com os cidadãos do candidato.

Jorge Messias foi advogado-geral da União durante os últimos anos e entre outras iniciativas criou a Procuradoria Nacional de Defesa da Democracia. Esse órgão vinculado ao Poder Executivo, em que pese uma instituição de Estado que é ou deveria ser ou deveria ou como deveria se comportar a Advocacia-Geral da União, praticou dezenas de atos de censura direta ou indireta, notificando plataformas digitais para que retirassem conteúdos a partir de demandas do próprio governo.

Basicamente fez o seguinte: o governo fazia demandas — o ministério, a Presidência da República, a área de comunicação do governo, o Ministério da Educação, enfim, outros órgãos do governo, demandando o próprio governo — e a AGU, a partir da Procuradoria de Defesa da Democracia, notificava plataformas digitais para retiradas de conteúdos, conteúdos que retratavam o governo ou que eram vistas pelo governo como falsos, como fake news.",Data Indisponível,https://www.estadao.com.br/politica/fernando-schuler/qualidade-do-debate-sobre-visoes-da-constituicao-e-do-direito-e-chave-na-avaliacao-de-jorge-messias/,estadao
Bastidores: Casos Master e INSS obrigaram Lula a correr por mais um aliado no STF,"Presidente recebeu sinalização de MDB e PSD de que ‘clima hostil’ contra Messias no Senado passou, mas ainda não garantem aprovação","Após um hiato de quatro meses entre a decisão política e a formalização institucional, o presidente Luiz Inácio Lula da Silva encaminhou ao Senado, nesta quarta-feira, 1º, a indicação de Jorge Messias, atual ministro da Advocacia-Geral da União (AGU), para a vaga em aberto no Supremo Tribunal Federal (STF).

PUBLICIDADE Sob pressão do calendário eleitoral e de investigações sensíveis ao governo, como o caso Master e o escândalo do INSS, o petista foi orientado a “passar a bola” para o Congresso, para completar a composição da Corte e ter mais um aliado no plenário. Ao longo dos últimos dias, segundo relatos feitos à Coluna do Estadão, o presidente ouviu a seguinte mensagem de governistas: Não dá para ficar com o plenário do STF incompleto. Eles se referiam aos “sustos” que tomaram nas CPIs e que exigiram decisões do Supremo, que já não age de maneira tão uniforme como na ação penal do 8 de janeiro. Como mostrou a Coluna, o Planalto busca garantir a aprovação do atual Advogado-Geral da União antes que uma eventual delação premiada do banqueiro Daniel Vorcaro, do Banco Master, possa turvar ainda mais o cenário político.

A demora no envio da mensagem presidencial, entretanto, não foi casual. Lula recuou estrategicamente no final do ano, diante do risco real de rejeição, alimentado principalmente pela postura do presidente do Senado, Davi Alcolumbre (União-AP). Alcolumbre, que detém o controle do cronograma de votações, sinalizava preferência pelo nome do ex-presidente da Casa Rodrigo Pacheco (PSB-MG) para a cadeira, o que gerou um impasse de meses.

Publicidade

Contudo, o cenário começou a mudar em março. Na semana passada, integrantes do MDB e do PSD enviaram sinais ao Palácio do Planalto de que o “clima hostil” arrefeceu. O diagnóstico entregue a Lula foi de que, embora a aprovação não seja garantida, o “mal-estar anterior está ultrapassado”.

Messias e o ‘beija-mão’ a senadores

Nos últimos meses, o advogado-geral da União realizou uma maratona de conversas, visit",Data Indisponível,https://www.estadao.com.br/politica/coluna-do-estadao/bastidores-lula-formaliza-indicacao-de-messias-ao-stf-por-mais-um-aliado-em-meio-ao-caso-master/,estadao
Lula formaliza indicação de Messias ao STF; Senado vai tomar decisão final,"Presidente considera o ministro da AGU leal e ‘maduro’ para compor a Corte, um nome que não representa nenhuma aposta de risco para o seu governo","Quem é Jorge Messias, indicado de Lula para ocupar a vaga de Barroso no STF? 2:40 Crédito: Larissa Burchard e Bruno Nogueirão | Estadão

Confira o resumo que a LE.IA, a IA do Estadão, fez pra você Gerando resumo Abrir o resumo

BRASÍLIA – O presidente Luiz Inácio Lula da Silva enviou nesta quarta-feira, 1.º, ao Senado a indicação do titular da Advocacia-Geral da União (AGU), Jorge Messias, para ocupar uma cadeira no Supremo Tribunal Federal (STF). Agora, o nome dele será avaliado pelos senadores.

A formalização do nome de Messias ocorre mais de quatro meses depois de Lula ter anunciado a escolha, em novembro do ano passado. Na reunião ministerial no Palácio do Planalto, Lula afirmou que tomaria a medida nesta terça-feira, 31. Por “questões burocráticas”, porém, a indicação oficial ocorreu um dia depois.

Lula formalizou ao Senado a indicação de Jorge Messias para uma vaga no STF Foto: Wilton Junior/Estadão

Publicidade

Dilma estava gripada e quem transcreveu o áudio de sua conversa com Lula entendeu que ela dizia “Bessias”, em vez de “Messias”. O ministro do STF Gilmar Mendes interpretou aquele diálogo como uma forma de blindar Lula de eventual pedido de prisão e suspendeu a posse do petista.

A crise aumentou, Dilma sofreu impeachment e Messias, o então subchefe de Assuntos Jurídicos da Casa Civil, recebeu o apelido do qual só se livrou em 2023, ao ser indicado por Lula para chefiar a AGU. “Hoje, eu voltei a ser Jorge Messias. Para a minha vida, isso é tudo”, disse, na ocasião.

Evangélico, Messias é diácono da Igreja Batista e tem 46 anos. De família humilde, aprendeu a frequentar cultos ainda pequeno, levado pela mãe, no Recife.

Com essa credencial, Messias intensificou a mobilização para ajudar Lula a se aproximar do segmento religioso que, de acordo com pesquisas, tem muitas resistências ao governo do PT. Não desistiu nem mesmo quando, em junho de 2023, foi vaiado na “Marcha para Jesus”, em São Paulo, ao citar o nome de Lula.

Publicidade

No governo, contou",Data Indisponível,https://www.estadao.com.br/politica/lula-formaliza-indicacao-de-messias-ao-stf-senado-vai-tomar-decisao-final/,estadao
