titulo,subtitulo,texto,data,url,portal
Governo entrega ao Senado indicação de Messias ao STF,O advogado-geral da União ocupará vaga deixada por Luís Roberto Barroso,"O advogado-geral da União ocupará vaga deixada por Luís Roberto Barroso

Renato Menezes/AscomAGU Em fevereiro, a Jovem Pan noticiou que a indicação do advogado-geral da União seria aprovada com tranquilidade após o Carnaval



O governo Lula (PT), por meio da Secretaria Especial de Assuntos Jurídicos da Casa Civil da Presidência, anunciou, na tarde desta quarta-feira (1), a indicação de Jorge Messias ao Supremo Tribunal Federal (STF) ao Senado. A informação foi confirmada pela Casa.

O atual advogado-geral da União ocupará vaga deixada por Luís Roberto Barroso no STF.

Após meses de espera, Lula e o presidente do Senado, Davi Alcolumbre (União-AP), chegaram a um acordo para aprovação da indicação. A Jovem Pan apurou que a sabatina deve ocorrer nos próximos dias. Primeiro, a indicação é votada na Comissão de Constituição e Justiça (CCJ). Depois, é levada a plenário.

Ainda não há um nome definido para substituir Messias na AGU. A ideia do Governo Federal é resolver cada etapa por vez.

Em fevereiro, a Jovem Pan noticiou que a indicação do advogado-geral da União seria aprovada com tranquilidade após o Carnaval, inclusive com apoio de bolsonaristas.

Em dezembro do ano passado, o presidente do Senado, Davi Alcolumbre (União-AP), decidiu adiar a sabatina do advogado-geral da União. Oficialmente, o senador afirmou que o governo não havia enviado a mensagem de indicação, mas o adiamento ocorreu em meio à preferência de Alcolumbre pelo nome do senador Rodrigo Pacheco (PSD-MG) para a vaga no STF.

“Humildade”

Messias afirmou nesta terça-feira (31), que dará continuidade à sua jornada no Senado “com humildade e fé” e que buscará o diálogo com todos os senadores neste momento em que busca apoio pela sua indicação como ministro do STF.

O AGU ainda disse que preza pela paz e visa a melhor maneira de solucionar as divergências. “Continuarei meu empenho pela pacificação e estabilidade. Como profissional do direito, sempre valorizei o diálogo e a conciliação como as melhores ma",2026-04-01 14:36:53-03:00,https://jovempan.com.br/noticias/politica/governo-entrega-ao-senado-indicacao-de-messias-ao-stf.html,jovem_pan
Petrobras aumenta preço de querosene para aviação em 55%,Reajuste reflete a escalada do petróleo devido à guerra no Irã e deve pressionar os custos das companhias aéreas,"Reajuste reflete a escalada do petróleo devido à guerra no Irã e deve pressionar os custos das companhias aéreas

Fernando Frazão/Agência Brasil Petrobras aumenta preço de querosene para aviação em 55%



A Petrobras aumentou o preço do querosene de aviação (QAV) em 55% na venda das refinarias para as distribuidoras. A informação havia sido antecipada pela Jovem Pan e confirmada pela estatal.

O preço do QAV é estipulado pela Petrobras mensalmente, sempre no dia 1º. Ele é utilizado pelas companhias aéreas em aeronaves de médio e grande porte. Com o reajuste, o preço será repassado pelas distribuidoras para as empresas aéreas.

De acordo com a Agência Nacional de Aviação Civil (Anac), órgão regulador do setor aéreo, combustíveis representaram cerca de 30% dos custos totais das companhias aéreas.

Na quarta-feira (31), o Grupo Abra, controladora da Gol, já havia dito que a Petrobras elevaria o preço do QAV em cerca de 55%. O reajuste ocorre enquanto os preços do petróleo no mercado internacional sobem, em meio à guerra dos EUA e de Israel contra o Irã.

‘Guerra é do Trump’

O presidente Lula (PT) voltou a criticar nesta terça-feira (31) a guerra no Irã e os efeitos sobre o preço internacional do petróleo, que vem encarecendo o combustível, especialmente o óleo diesel, no caso brasileiro. O país importa cerca de 30% do que consome no mercado interno.

Segundo Lula, o governo está tomando medidas possíveis e adotará todas as providências para evitar uma escalada do preço do diesel, que impacta diretamente a inflação.

“Nós tomamos todas as medidas possíveis para evitar que se aumente o óleo diesel. Mas, no governo passado, eles venderam a distribuidora [BR Distribuidora, ex-subsidiária da Petrobras]. Então, quando a gente não sobe o preço, mesmo que a Petrobras baixe o preço, ele não chega na ponta, porque os atravessadores não deixam”, afirmou o presidente, em São Paulo, durante evento que comemorou os 21 anos do Programa Universidade Para Todos (Prouni) e os 14 anos d",2026-04-01 10:37:24-03:00,https://jovempan.com.br/noticias/economia/petrobras-aumenta-preco-de-querosene-para-aviacao-em-55.html,jovem_pan
Jorge Messias diz que busca diálogo com ‘humildade’ com os senadores,"A declaração vem após Lula informar que enviará ao Senado, nesta terça-feira (31), a indicação do advogado-geral da União para ministro do STF","A declaração vem após Lula informar que enviará ao Senado, nesta terça-feira (31), a indicação do advogado-geral da União para ministro do STF

Renato Menezes/AscomAGU Advogado-Geral da União, Jorge Messias



O advogado-geral da União (AGU), Jorge Messias, afirmou, nesta terça-feira (31), que dará continuidade à sua jornada no Senado “com humildade e fé” e que buscará o diálogo com todos os senadores neste momento em que busca apoio pela sua indicação como ministro do Supremo Tribunal Federal (STF).

A declaração de Messias vem após o presidente Lula (PT) informar que enviará ao Senado, ainda nesta terça-feira, a indicação do advogado-geral da União para ocupar a vaga deixada no STF por Luís Roberto Barroso. A decisão deve ser publicada em edição extra do Diário Oficial da União.

Após meses de espera, Lula e o presidente do Senado, Davi Alcolumbre (União-AP), chegaram a um acordo para aprovação da indicação. A Jovem Pan apurou que a sabatina deve ocorrer nos próximos dias. Primeiro, a indicação é votada na Comissão de Constituição e Justiça (CCJ). Depois, é levada a plenário.

Messias disse que preza pela paz e visa a melhor maneira de solucionar as divergências. “Continuarei meu empenho pela pacificação e estabilidade. Como profissional do direito, sempre valorizei o diálogo e a conciliação como as melhores maneiras de resolver conflitos. Reafirmarei meu compromisso com essas credenciais”, afirmou.

Ainda não há um nome definido para substituir Messias na Advocacia-Geral da União (AGU). A ideia do Governo Federal é resolver cada etapa por vez.

Anúncio de Messias ao STF

Jorge Messias foi indicado por Lula para ocupar a vaga deixada por Luís Roberto Barroso, do STF, ainda no dia 21 de novembro de 2025.

Em fevereiro, a Jovem Pan noticiou que a indicação do advogado-geral da União seria aprovada com tranquilidade após o Carnaval, inclusive com apoio de bolsonaristas.

Em dezembro do ano passado, o presidente do Senado, Davi Alcolumbre (União-AP), decidiu adiar a s",2026-03-31 17:57:25-03:00,https://jovempan.com.br/noticias/politica/jorge-messias-diz-que-busca-dialogo-com-humildade-com-os-senadores.html,jovem_pan
Nunes oficializa troca de oito secretários; veja a lista,"Mudanças acontecem devido ao processo de desincompatibilização exigido pelo TSE, para interessados em se candidatarem nas eleições deste ano","Mudanças acontecem devido ao processo de desincompatibilização exigido pelo TSE, para interessados em se candidatarem nas eleições deste ano

Arthur Lamonier/Ato Press/Estadão Conteúdo Prefeito de São Paulo, Ricardo Nunes (MDB), oficializa troca de oito secretários municipais que deixam seus cargos para se candidatar nas eleições deste ano



O prefeito de São Paulo, Ricardo Nunes (MDB), oficializou nesta quarta-feira (1º) a troca de oito secretários municipais que deixam seus cargos para se candidatar nas eleições de 2026. Essas mudanças acontecem devido ao processo de desincompatibilização exigido pela legislação eleitoral brasileira, que determina o desligamento de ocupantes de determinadas funções públicas ao menos seis meses antes do pleito.

A Jovem Pan apresenta abaixo quem sai e quem entra nas secretarias da prefeitura de São Paulo.

Secretaria da Casa Civil

Enrico Misasi deixa a Casa Civil para disputar uma vaga na Câmara dos Deputados. Quem entra é Paulo Frange (MDB).

Mineiro de Uberaba, Frange é médico cardiologista formado pela Faculdade de Medicina do Triângulo Mineiro, com residência no Dante Pazzanese. Atuou como diretor clínico do Hospital São Camilo de Santana por 15 anos e como consultor de saúde e gestão hospitalar, inclusive em Angola. Desde 1997 é vereador em São Paulo, em seu oitavo mandato, com 159 leis aprovadas, autor de normas como a isenção do rodízio para médicos, o Fundo de Trânsito e a Virada da Saúde. Tem um consultório desde 1978, atendendo cerca de 200 pacientes por mês.

Secretaria da Segurança Urbana

Na pasta da Segurança Urbana, Orlando Morando deixa o comando para também disputar uma vaga na Câmara dos Deputados. Juliana Bussacos assume.

Delegada da Polícia Civil de São Paulo, Bussacos possui trajetória no combate à violência contra a mulher, após chefiar a 6ª Delegacia de Defesa da Mulher (DDM) em Santo Amaro e integrar a diretoria do Sindicato dos Delegados de Polícia. Ela também é coautora de obra sobre proteção a vítimas ",2026-04-01 10:34:58-03:00,https://jovempan.com.br/noticias/politica/nunes-anuncia-troca-de-oito-secretarios-veja-a-lista.html,jovem_pan
PSD ANUNCIA RONALDO CAIADO COMO CANDIDATO À PRESIDÊNCIA,"Notícia, esporte, entretenimento e vídeos com credibilidade",,2026-04-01 15:30:19-03:00,https://jovempan.com.br/videos/programas/tempo-real/psd-anuncia-ronaldo-caiado-como-candidato-a-presidencia-tempo-real-30-03-26.html,jovem_pan
Candidatos têm até sábado para deixar cargos para disputar eleições 2026,"Data está prevista no calendário eleitoral e corresponde ao prazo de seis meses antes do primeiro turno, marcado para o dia 4 de outubro","Data está prevista no calendário eleitoral e corresponde ao prazo de seis meses antes do primeiro turno, marcado para o dia 4 de outubro

Antonio Augusto/TSE Dia 4 de abril também marca o prazo final para o registro dos estatutos de partidos e federações



Chefes do Executivo que pretendem disputar as eleições de 2026 têm até o sábado (4) para renunciar aos seus cargos. A data está prevista no calendário eleitoral e corresponde ao prazo de seis meses antes do primeiro turno, marcado para o dia 4 de outubro. A regra não vale para casos de reeleição. A regra prevista na Constituição busca evitar o uso da estrutura e do cargo para obter vantagens sobre outros candidatos.

Até o momento, já deixaram o cargo:

Governador de Minas Gerais, Romeu Zema (Novo) que busca disputar a presidência;

Governador do Rio de Janeiro, Cláudio Castro (PL), que deixa o cargo para disputar uma vaga no Senado.

Ronaldo Caiado (PSD) também deixou o governo de Goiás nesta terça-feira, 31, para disputar a presidência.

Além dos chefes do Executivo, outros ocupantes de funções públicas precisam se afastar para disputar o pleito, conforme determina a Lei de Inelegibilidade. Nesse caso, os prazos variam de acordo com o cargo. Ao menos 17 dos 38 ministros do governo Lula deixarão o cargo para disputar as eleições de outubro.

Também houve mudanças no âmbito municipal. Oito secretários da gestão do prefeito Ricardo Nunes (MDB) deixaram nesta quarta-feira, 1º de abril, seus cargos na Prefeitura de São Paulo para disputar as eleições gerais de outubro.

O dia 4 de abril também marca o prazo final para o registro dos estatutos de partidos e federações que pretendem participar das eleições de 2026. A data é ainda o limite para que futuros candidatos tenham domicílio eleitoral na circunscrição em que desejam concorrer.

*Estadão Conteúdo",2026-04-01 17:31:32-03:00,https://jovempan.com.br/noticias/politica/candidatos-tem-ate-sabado-para-deixar-cargos-para-disputar-eleicoes-2026.html,jovem_pan
Trump diz que líder do Irã pediu cessar-fogo para encerrar guerra no Oriente Médio,"Até o momento, o Irã ainda não se manifestou oficialmente sobre a informação","Até o momento, o Irã ainda não se manifestou oficialmente sobre a informação

ANDREW CABALLERO-REYNOLDS / AFP ""O novo presidente do regime iraniano, muito menos radicalizado e bem mais inteligente que seus antecessores, acaba de pedir um cessar-fogo aos Estados Unidos da América!"", escreveu Trump.



O presidente dos EUA, Donald Trump, afirmou nesta quarta-feira (1º), por meio das redes sociais, que o Irã pediu um cessar-fogo para a guerra no Oriente Médio. O porta-voz do Ministério das Relações Exteriores do Irã negou essa versão apresentada pelo republicano. Em entrevista à Al Jazeera, ele disse que “as declarações sobre um pedido de cessar-fogo não são verdadeiras“.

Mais cedo, Trump fez uma publicação na plataforma Truth Social, na qual dizia que “o novo presidente do regime iraniano, muito menos radicalizado e bem mais inteligente que seus antecessores, acaba de pedir um cessar-fogo aos Estados Unidos da América!”

Na mesma mensagem, Trump condicionou qualquer avanço à normalização da navegação em uma rota estratégica da região. “Consideraremos a questão quando o Estreito de Ormuz estiver aberto, livre e desimpedido”, afirmou, se referindo à passagem de grande parte do petróleo comercializado globalmente.

Por meio da Guarda Revolucionária, o Irã afirmou que o Estreito de Ormuz permanecerá sob “pleno controle” de sua Marinha e rejeitou qualquer possibilidade de reabertura nas condições sugeridas pelos Estados Unidos. Em comunicado, a força disse que a via estratégica “não será reaberta aos inimigos desta nação por meio das ‘encenações ridículas’ do presidente” americano, Donald Trump.

O presidente dos EUA também adotou um tom mais duro ao tratar da continuidade dos ataques. “Até lá, vamos bombardear o Irã até a sua destruição ou, como se diz, de volta à Idade da Pedra”, declarou.

Na terça-feira (31), Trump ainda disse que pode encerrar o conflito contra o Irã em “duas ou três semanas”. Em entrevistas a jornalistas, na Casa Branca, o republicano afirmou “não h",2026-04-01 10:16:22-03:00,https://jovempan.com.br/noticias/mundo/trump-diz-que-lider-do-ira-pediu-cessar-fogo.html,jovem_pan
OS PINGOS NOS IS – 01/04/26,"Notícia, esporte, entretenimento e vídeos com credibilidade",,2026-04-01 18:00:14-03:00,https://jovempan.com.br/videos/programas/os-pingos-nos-is/os-pingos-nos-is-01-04-26.html,jovem_pan
Capitão Alden cobra ACM Neto: ‘Não é possível que Flávio Bolsonaro não tenha um palanque na Bahia’,Deputado federal pelo PL-BA critica postura do União Brasil e relembra derrota de 2022 como consequência da omissão do ex-prefeito de Salvador,"Deputado federal pelo PL-BA critica postura do União Brasil e relembra derrota de 2022 como consequência da omissão do ex-prefeito de Salvador

Reprodução Câmara dos Deputados Capitão Alden



O deputado federal Capitão Alden (PL-BA) criticou a postura do ex-prefeito de Salvador e presidente nacional do União Brasil, ACM Neto, diante da pré-candidatura de Flávio Bolsonaro ao governo da Bahia em 2026. Em entrevista à Jovem Pan, o parlamentar avaliou que a recusa de Neto em declarar apoio já no primeiro turno pode repetir o erro que custou ao próprio ACM a eleição estadual de 2022.

“Não é possível que Flávio Bolsonaro não tenha um palanque”, afirmou Alden. “Todos nós baianos queremos saber de fato como ficará o tabuleiro aqui na Bahia.”

PL e União Brasil na mesma chapa, mas em campos opostos

O deputado destacou a contradição interna da aliança que hoje sustenta a chapa majoritária encabeçada pelo próprio ACM Neto: o PL integra a composição, com o presidente estadual do partido, João Roma, como pré-candidato na chapa, mas o União Brasil sinaliza apoio a Ronaldo Caiado — e não a Flávio Bolsonaro — para a disputa pelo Palácio de Ondina.

“O PL compõe a chapa majoritária junto com o ACM Neto. Temos o pré-candidato João Roma, que é do PL e está nessa composição. Infelizmente, o União Brasil, através do ACM Neto, não está consolidando esse apoio no primeiro turno para Flávio Bolsonaro”, disse Alden.

Segundo o parlamentar, todas as sinalizações públicas de Neto apontam para um apoio condicionado: “O que ele comenta na imprensa sinaliza que somente poderá apoiar Flávio Bolsonaro em eventual segundo turno.”

A lição não aprendida de 2022

Alden foi contundente ao traçar um paralelo com a última eleição ao governo estadual, quando ACM Neto perdeu para o PT por uma margem de cerca de 400 mil votos — numa eleição em que Lula somou 6 milhões de votos na Bahia e o próprio Neto ultrapassou os 4 milhões.

“Eu não tenho dúvidas de que, se o ACM Neto já no primeiro turno de 2022 ti",2026-03-31 23:03:52-03:00,https://jovempan.com.br/opiniao-jovem-pan/comentaristas/bruno-pinheiro/capitao-alden-cobra-acm-neto-nao-e-possivel-que-flavio-bolsonaro-nao-tenha-um-palanque-na-bahia.html,jovem_pan
Análise da fidelidade partidária e as regras eleitorais vigentes,O princípio jurídico que vincula a titularidade do mandato eletivo à organização partidária,"O princípio jurídico que vincula a titularidade do mandato eletivo à organização partidária

LEANDRO CHEMALLE/THENEWS2/ESTADÃO CONTEÚDO A janela partidária permite que os políticos troquem de partido antes das eleições sem sofrer penalidades



A fidelidade partidária é um dos pilares fundamentais para a estabilidade do sistema político brasileiro, especialmente no que tange às eleições proporcionais. No Brasil, a democracia representativa opera sob a lógica de que, em determinados cargos, o mandato não pertence exclusivamente ao indivíduo eleito, mas sim ao partido pelo qual ele concorreu. Esse entendimento visa fortalecer as instituições partidárias e assegurar que a vontade do eleitor, muitas vezes depositada na legenda e não apenas no candidato, seja respeitada durante o exercício do poder. A relação entre o político e sua agremiação é regida por normas constitucionais e resoluções do Tribunal Superior Eleitoral (TSE), que estabelecem limites para a migração entre legendas.

Fundamentos e atribuições da fidelidade partidária

O conceito central da fidelidade partidária reside na obrigatoriedade de o parlamentar manter-se filiado à legenda pela qual foi eleito durante todo o exercício do mandato. A legislação brasileira distingue a aplicação dessa regra com base no sistema eleitoral adotado para cada cargo.

Para os cargos disputados no sistema proporcional (vereadores, deputados estaduais, distritais e federais), o entendimento jurídico consolidado pelo Supremo Tribunal Federal (STF) é de que o mandato pertence ao partido. Isso ocorre porque, nesse sistema, as vagas são distribuídas de acordo com o quociente eleitoral alcançado pela legenda ou federação, somando-se os votos de todos os candidatos e os votos de legenda. Portanto, a saída injustificada do parlamentar desfalcaria a representatividade obtida pelo partido nas urnas.

Já para os cargos do sistema majoritário (prefeitos, governadores, senadores e presidente da República), o STF decidiu, em 2015, que a ",2026-04-01 04:15:01-03:00,https://jovempan.com.br/noticias/politica/analise-da-fidelidade-partidaria-e-as-regras-eleitorais-vigentes.html,jovem_pan
