titulo,subtitulo,texto,data,url,portal
Grupo Jovem Pan estreia hoje na TV Aberta em São Paulo,"A chegada do canal Jovem Pan à TV Aberta em São Paulo, principal mercado publicitário do país, ocorre por meio de parceria com a Rede Mais…","A chegada do canal Jovem Pan à TV Aberta em São Paulo, principal mercado publicitário do país, ocorre por meio de parceria com a Rede Mais Família

Jovem Pan

O Grupo Jovem Pan comunica mais um passo importante em seu projeto de expansão multiplataforma e na democratização do acesso ao seu conteúdo com a estreia da programação em canais de TV Aberta em São Paulo, Campinas e Santa Inês do Maranhão.

A partir de hoje, 26 de janeiro, os canais 51 de São Paulo, 41 de Campinas, 12 em Cuiabá e 19 de Santa Inês do Maranhão passarão a exibir 24 horas da programação da Jovem Pan, com jornalismo, esporte e entretenimento.

Para Antonio Augusto Amaral de Carvalho Filho, presidente do Conselho do Grupo Jovem Pan, a expansão mostra a força da Jovem Pan junto ao público e ao mercado, chancelando o legado de quase 85 anos de história da Família Amaral de Carvalho na radiodifusão.

“Nosso propósito é levar informação e prestação de serviços com qualidade, credibilidade e respeito à nossa audiência. Um compromisso inalienável com o país, reforçado agora com a distribuição gratuita de nossa programação pela TV Aberta. Democratizar o acesso ao jornalismo de qualidade é condição fundamental para fortalecer nossa sociedade”, afirma.

A chegada do canal Jovem Pan à TV Aberta em São Paulo, principal mercado publicitário do país, ocorre por meio de parceria com a Rede Mais Família. Esse movimento reforça o princípio defendido pelo fundador do Grupo Jovem Pan, Antonio Augusto Amaral de Carvalho, de que ninguém faz sucesso sozinho.

“Ao longo dos últimos 40 anos, tenho me dedicado ao entretenimento e à comunicação para as famílias brasileiras por meio do Patati Patatá e da Rede Mais Família. Sempre acreditei na força das parcerias construídas com credibilidade e tradição. É uma grande alegria celebrar esta parceria com o Grupo Jovem Pan, uma marca muito importante na história da comunicação do país. Com essa união, firmamos um compromisso de proporcionar uma televisão aberta relevante, democ",2026-01-26 06:00:26-03:00,https://jovempan.com.br/jpnews/grupo-jovem-pan-estreia-hoje-na-tv-aberta-em-sao-paulo.html,jovem_pan
"‘Tarcísio mandou Derrite blindar criminoso’, diz Boulos sobre PL Antifacção","Notícia, esporte, entretenimento e vídeos com credibilidade",,2025-11-25 08:00:53-03:00,https://jovempan.com.br/videos/programas/direto-ao-ponto/tarcisio-mandou-derrite-blindar-criminoso-diz-boulos-sobre-pl-antifaccao.html,jovem_pan
"Governo concorda com calendário de emendas e pagará 60% até julho, diz relator da LDO",Texto também irá prever autorização para permanência no piso da meta fiscal,"Texto também irá prever autorização para permanência no piso da meta fiscal

Marcos Oliveira/Agência Senado O acordo foi fechado em reunião da Comissão Mista de Orçamento nesta terça-feira



O relator da Lei de Diretrizes Orçamentárias (LDO), Gervásio Maia (PSB-PB), afirmou que governo concordou com o calendário para pagamento de emendas até julho do ano que vem. O texto irá prever a obrigatoriedade de distribuição de pelo menos 60% das emendas pix e de saúde antes do período eleitoral.

O acordo foi fechado em reunião da Comissão Mista de Orçamento nesta terça-feira. O Planalto resistia a ideia e evitava se comprometer com o pagamento, mas acabou cedendo.

Em contrapartida, o relator acrescentará no texto a autorização para que o governo possa ficar no piso da meta fiscal. A mudança, também feita na LDO de 2025 por meio de um projeto de lei do Congresso Nacional, pode evitar que o Tribunal de Contas da União volte a cobrar do governo o cumprimento do centro da meta, dando mais garantia que de que a execução do orçamento possa seguir, por exemplo, a banda inferior da meta.

O texto da LDO, em conformidade com o arcabouço fiscal, prevê que a execução do orçamento pode cumprir os intervalos de tolerância para baixo, com superávit e déficit zero, ou para cima, com superávit de R$ 68 bilhões.

Relatório de receitas

Antes da votação da Lei Orçamentária Anual (LOA), a CMO também analisa o relatório de receitas. Para o texto, o governo deve manter a previsão de recursos extras com dois projetos de lei ainda não aprovados: a proposta que corta os incentivos tributários de empresas em até 10%, o que pode gerar uma receita de até R$ 19 bilhões, e o aumento de impostos para bets e fintechs, que pode render até R$ 4 bilhões.

Caso os projetos não sejam aprovados até o fim desse ano, o governo terá que lidar com a frustração de receitas e contingenciamentos no ano que vem.

*Esse texto não reflete, necessariamente, a opinião da Jovem Pan.",2025-12-02 18:40:42-03:00,https://jovempan.com.br/opiniao-jovem-pan/comentaristas/victoria-abel/governo-concorda-com-calendario-de-emendas-e-pagara-60-ate-julho-diz-relator-da-ldo.html,jovem_pan
A máscara pesa mais que o Macallan de 3 milhões,"Gastam 3 milhões em whisky e 129 milhões em contratos para que a caneta assine o que convém, mas esquecem que a máscara que sustenta esse…","Gastam 3 milhões em whisky e 129 milhões em contratos para que a caneta assine o que convém, mas esquecem que a máscara que sustenta esse poder custa a própria sanidade

Freepik

Você já notou que o silêncio de casa virou o único lugar onde sua respiração parece natural?

Depois de uma semana inteira de esforço constante para sustentar a imagem que você deseja projetar aos grupos que admira, a vontade de sumir não é apenas cansaço. É o seu corpo finalmente pedindo o fim da encenação.

A notícia da semana, sobre a degustação de whisky de 3,3 milhões de reais em Londres e os contratos milionários de advocacia para influenciar quem detém a caneta da lei, é o retrato definitivo de uma Persona que se tornou insustentável.

Para Carl Jung, a Persona é a máscara social que media nossas relações. O problema é quando ela deixa de ser apenas uma interface e passa a ser o nosso principal investimento. Nós a polimos para mostrar ao mundo, ou a círculos específicos, quem almejamos ser. O custo de manter esse personagem impecável é o que nos mantém reféns do próprio olhar.

Eles precisam de brindes extravagantes e de contratos de 129 milhões porque, sem essa vitrine de sucesso e influência, eles perdem a própria noção de existência. Para essa elite, a máscara não protege apenas, ela define.

Enquanto tentam comprar a solidez do que é justo para manter a imagem de intocáveis, a ciência de Stanford nos traz a conta real: a Carga Alostática. É o preço biológico que você paga ao forçar a barra todos os dias para projetar uma versão idealizada de si mesmo. Seu cérebro não distingue o esforço de uma reunião de negócios da pressão de manter essa projeção social; em ambos os casos, a imunidade despenca e o self, nosso núcleo real, é sufocado pelo peso do que tentamos representar. É a imagem do que gostaríamos de ser e ainda não somos. Fingir até que se torne real.

Mas essa adaptação compulsiva a um sistema dependente de aparências tem o custo de identidade e deve ser equilibrado entre t",2026-03-19 11:05:06-03:00,https://jovempan.com.br/opiniao-jovem-pan/comentaristas/larissa-fonseca/a-mascara-pesa-mais-que-o-macallan-de-3-milhoes.html,jovem_pan
Wanderley Nogueira: GUARDIOLA ‘suspira’ pelo futebol do Barcelona,"Notícia, esporte, entretenimento e vídeos com credibilidade",,2026-03-30 20:00:15-03:00,https://jovempan.com.br/videos/programas/live-jp-premium/wanderley-nogueira-guardiola-suspira-pelo-futebol-do-barcelona.html,jovem_pan
"Lua hoje: veja qual é a fase lunar desta terça-feira, 31 de março de 2026",O satélite natural da Terra está com uma área iluminada cada vez maior,"O satélite natural da Terra está com uma área iluminada cada vez maior

A Lua ganha destaque no céu conforme se aproxima de sua fase mais iluminada Imagem: Efasein | Shutterstock

Nesta terça-feira, 31 de março, a Lua está em sua fase Crescente. Ela entrou nessa etapa no dia 25, às 16h19, conforme informações do Instituto Nacional de Meteorologia. Com isso, o satélite natural da Terra passa a apresentar uma área iluminada cada vez maior, tornando-se mais visível no céu ao longo das noites e indicando a aproximação da Lua Cheia, que acontece no dia 01 de abril, às 23h13.

O que é a Lua Crescente?

A fase Crescente ocorre logo após a Lua Nova e marca o início do aumento da iluminação visível da Lua a partir da Terra. Nesse período, apenas uma parte do disco lunar aparece iluminada, formando um arco que cresce gradualmente a cada noite. Esse fenômeno acontece devido à posição relativa entre a Terra, a Lua e o Sol, que determina como a luz solar incide sobre a superfície lunar e como ela é percebida por quem observa o céu.

Aspectos científicos da iluminação da Lua

A Lua não emite luz própria. O brilho que vemos é resultado do reflexo da luz solar em sua superfície. Durante a fase Crescente, o astro se movimenta em sua órbita ao redor da Terra, fazendo com que uma porção cada vez maior de sua face iluminada fique voltada para o nosso planeta. Esse movimento faz parte de um ciclo completo, conhecido como lunação, que dura aproximadamente 29,5 dias.

A Lua Crescente ganha destaque no céu do entardecer e revela detalhes da sua superfície com mais nitidez Imagem: GreenSprocket | Shutterstock

Características da Lua Crescente

Entre as características mais marcantes da Lua Crescente está sua visibilidade no período da tarde e início da noite. Ela costuma nascer por volta do meio-dia e se pôr próximo da meia-noite. Outro ponto interessante é que, nessa fase, o contraste entre luz e sombra na superfície lunar permite observar com mais nitidez crateras, relevos e outros detalh",2026-03-31 10:00:00-03:00,https://jovempan.com.br/edicase/lua-hoje-veja-qual-e-a-fase-lunar-desta-terca-feira-31-de-marco-de-2026.html,jovem_pan
Artur exalta companheiros e torcida na chegada ao São Paulo e faz 1º treino,O atleta chega ao time paulista por empréstimo do Botafogo até o final da temporada,"O atleta chega ao time paulista por empréstimo do Botafogo até o final da temporada

Reprodução/Instagram Artur, atacante do São Paulo



O atacante Artur foi anunciado como reforço do São Paulo no sábado (28) e já começou as atividades com o elenco, no CT da Barra Funda, neste domingo (29). O atleta de 28 anos participou dos trabalhos táticos promovidos pelo técnico Roger Machado, além de atividades com estímulos de corrida e um coletivo.

Na chegada ao gigante paulista, o jogador destacou a presença de antigos companheiros e elogiou a torcida são-paulina. “O Roger sempre foi meu amigão, sempre mantivemos contato. Tem outros companheiros que atuei junto, como o Lucas Ramon, no Londrina. Ele me recebeu, falou que o grupo é muito maneiro, são pessoas de caráter. Estou muito feliz”.

“Sempre que jogava contra o São Paulo, era um absurdo o calor da torcida, que não para de cantar. É sempre muito difícil. Ainda mais com apoio incondicional da torcida jogando em casa. Muitos dos meus familiares são-paulinos me mandavam mensagens, imaginando que eu iria jogar aqui”.

Com passagens por Palmeiras, Bahia, Londrina, Red Bull Bragantino e Zenit-RUS, o atleta chega ao time paulista por empréstimo do Botafogo até o final da temporada. No clube do Rio de Janeiro, foram altos e baixos em pouco mais de um ano, com dez gols marcados em 60 jogos.

O time tricolor retorna aos gramados na próxima quarta-feira (01), contra o Internacional, pela 9ª rodada do Campeonato Brasileiro, no Beira-Rio. A equipe ocupa a vice-liderança da competição e tenta se aproximar do Palmeiras na classificação. Se for regularizado no BID, o atacante Artur tem grandes chances de fazer sua estreia no clube.

“Estou muito realizado. É um sonho de criança, todo atleta sonha em defender um clube tão grande como o São Paulo”.

*Estadão Conteúdo",2026-03-29 22:16:16-03:00,https://jovempan.com.br/esportes/artur-exalta-companheiros-e-torcida-na-chegada-ao-sao-paulo-e-faz-1o-treino.html,jovem_pan
OAB e Aerp manifestam preocupação à manifestação do MPF sobre a Jovem Pan,Órgãos divulgaram notas nesta quarta-feira (17) em defesa da liberdade de imprensa; Jovem Pan ressalta que não é parte em nenhuma das ações penais sobre a…,"Órgãos divulgaram notas nesta quarta-feira (17) em defesa da liberdade de imprensa; Jovem Pan ressalta que não é parte em nenhuma das ações penais sobre a trama golpista

Jovem Pan News Advogados da Jovem Pan questionam a forma como o MPF divulgou o andamento da ação em seu site oficial



A Associação das Emissoras de Radiodifusão do Paraná (Aerp) e a Ordem dos Advogados do Brasil – seção São Paulo (OAB-SP) divulgaram notas nesta quarta-feira (17) em defesa da liberdade de imprensa, após o Ministério Público Federal (MPF) apresentar alegações finais em uma ação civil pública que pede o cancelamento da outorga da Jovem Pan. A Aerp afirma que acompanha com preocupação a ação do MPF e declara que ‘nosso compromisso é histórico com a liberdade de imprensa e o respeito à Constituição Federal, que assegura a independência editorial dos veículos de comunicação.

A OAB manifestou preocupação com o pedido de cancelamento e afirmou que a liberdade de imprensa não é negociável. “Atacá-la pode ser tão grave quanto atacar a democracia”, complementa o órgão.

Os advogados da Jovem Pan questionam a forma como o MPF divulgou o andamento da ação em seu site oficial. A emissora argumenta que a publicação tentou vincular o processo à recente condenação de réus no Supremo Tribunal Federal (STF) por tramar contra o Estado Democrático de Direito, o que considera indevido. Ressalta ainda que não é parte em nenhuma dessas ações penais e que suas alegações finais estão disponíveis no sistema da Justiça Federal. A ação civil pública contra a Jovem Pan foi proposta em 2023 e segue o trâmite normal da Justiça. O caso ainda será analisado pelo Judiciário.

Siga o canal da Jovem Pan News e receba as principais notícias no seu WhatsApp! WhatsApp

Leia as notas das associações

Nota da Associação das Emissoras de Radiodifusão do Paraná

A Aerp (Associação de Emissoras de Radiodifusão do Paraná) acompanha com preocupação a ação civil pública movida pelo MPF (Ministério Público Federal), que pede o",2025-09-17 12:42:39-03:00,https://jovempan.com.br/jpnews/oab-e-aerp-manifestam-preocupacao-a-manifestacao-do-mpf-sobre-a-jovem-pan.html,jovem_pan
Cadê a química? Governo Lula afirma que EUA podem interferir nas eleições de 2026 no Brasil,"Notícia, esporte, entretenimento e vídeos com credibilidade",,2025-12-25 20:55:11-03:00,https://jovempan.com.br/videos/programas/3-em-1/cade-a-quimica-governo-lula-afirma-que-eua-podem-interferir-nas-eleicoes-de-2026-no-brasil.html,jovem_pan
Lula sancionará ampliação da licença-paternidade na terça-feira (31),"A extensão será progressiva para sair do período atual de cinco dias para 20 dias, em 2029","A extensão será progressiva para sair do período atual de cinco dias para 20 dias, em 2029

Ricardo Stuckert / PR O presidente Lula sancionará projeto de lei que regulamenta a licença-paternidade



O presidente Luiz Inácio Lula da Silva (PT) sancionará na terça-feira (31) o projeto de lei que amplia a licença-paternidade para 20 dias. O benefício será concedido ao empregado, com remuneração integral, por nascimento de filho, adoção ou guarda judicial para fins de adoção.

Segundo o projeto aprovado no Congresso Nacional, haverá um regime de progressão. Ou seja, no primeiro ano de vigência da lei, serão concedidos 10 dias; no segundo ano, 15 dias; e a partir do terceiro ano, 20 dias. A lei entra em vigor em 1º de janeiro de 2027.

O texto enviado pelo Legislativo também determina que a licença-paternidade de 20 dias só será aplicada em 2029, caso a Meta Fiscal do exercício de 2028 tenha sido cumprida.

Outras medidas definidas no projeto de lei foram:

Criação do salário-paternidade no INSS, com remuneração integral;

Prorrogação do benefício em caso de internação da mãe ou do bebê;

Estabilidade no emprego por 30 dias após o retorno;

Extensão do direito a pais adotantes;

Ampliação em um terço do período de licença em casos de nascimento de crianças com deficiência ou doença rara.

O empregado ainda poderá emendar as férias com a licença-paternidade se manifestar essa intenção 30 dias antes da data esperada para o parto ou para a emissão de termo judicial de guarda.

Apesar da ampliação, o salário-paternidade segue num prazo menor que o salário-maternidade, que dura pelo menos quatro meses. No período de afastamento, o empregado não poderá exercer qualquer atividade remunerada.

A concessão do salário-paternidade observará as mesmas regras do salário-maternidade, que consiste numa renda igual à sua remuneração integral. Na prática, a empresa pagará a remuneração aos empregados formalizados no regime da CLT e será compensada pelo Instituto Nacional do Seguro Social",2026-03-30 20:17:00-03:00,https://jovempan.com.br/noticias/politica/lula-sancionara-ampliacao-da-licenca-paternidade-na-terca-feira-31.html,jovem_pan
